positive_pairs.pickle,negative_pairs.pickle
"('Female', 'Party')","('Clothing', 'Halo')"
"('Female', 'Club')","('Apparel', 'Halo')"
"('Clothing', 'Party')","('Female', 'Halo')"
"('Apparel', 'Party')","('Female', 'Military')"
"('Man', 'Halo')","('Man', 'Party')"
"('Female', 'Jewelry')","('Female', 'Prison')"
"('Clothing', 'Club')","('Furniture', 'Halo')"
"('Apparel', 'Club')","('Female', 'Man')"
"('Woman', 'Party')","('Face', 'Sleeve')"
"('Female', 'Shorts')","('Man', 'Hat')"
"('Female', 'Woman')","('Woman', 'Military')"
"('Female', 'Girl')","('Clothing', 'Hand')"
"('Hair', 'Party')","('Apparel', 'Hand')"
"('Female', 'Hair')","('Man', 'Female')"
"('Clothing', 'Shorts')","('Man', 'Shorts')"
"('Apparel', 'Shorts')","('Man', 'Jewelry')"
"('Woman', 'Female')","('Female', 'Pedestrian')"
"('Female', 'Dance')","('Face', 'Wood')"
"('Woman', 'Club')","('Face', 'Hat')"
"('Woman', 'Jewelry')","('People', 'Ear')"
"('Man', 'Prison')","('Hair', 'Military')"
"('Crowd', 'Shorts')","('Woman', 'Halo')"
"('Girl', 'Party')","('Woman', 'Prison')"
"('Clothing', 'Apparel')","('Wood', 'Halo')"
"('Clothing', 'Gown')","('Clothing', 'Head')"
"('Clothing', 'Sleeve')","('Apparel', 'Head')"
"('Clothing', 'Jewelry')","('Face', 'Plywood')"
"('Clothing', 'Closet')","('Face', 'Machine')"
"('Apparel', 'Clothing')","('Furniture', 'Jaw')"
"('Apparel', 'Gown')","('Man', 'Dress')"
"('Apparel', 'Sleeve')","('Female', 'Court')"
"('Apparel', 'Jewelry')","('Fashion', 'Halo')"
"('Apparel', 'Closet')","('Clothing', 'Man')"
"('Furniture', 'Driving')","('Clothing', 'Arm')"
"('Crowd', 'Party')","('Apparel', 'Man')"
"('Head', 'Halo')","('Apparel', 'Arm')"
"('Performer', 'Dungeon')","('Face', 'Shelf')"
"('Clothing', 'Female')","('Face', 'Shorts')"
"('Clothing', 'Fashion')","('Face', 'Driving')"
"('Clothing', 'School')","('Man', 'Girl')"
"('Apparel', 'Female')","('Female', 'Theater')"
"('Apparel', 'Fashion')","('Head', 'Hat')"
"('Apparel', 'School')","('Plant', 'Halo')"
"('Face', 'Arm')","('Finger', 'Military')"
"('Female', 'Gown')","('Girl', 'Military')"
"('Female', 'Shop')","('Clothing', 'Pedestrian')"
"('Overcoat', 'Suit')","('Apparel', 'Pedestrian')"
"('Crowd', 'Club')","('Face', 'Closet')"
"('Hair', 'Club')","('Room', 'Painting')"
"('Head', 'Jaw')","('Furniture', 'Painting')"
"('Suit', 'Tie')","('Man', 'Fashion')"
"('Pub', 'Club')","('Man', 'Shop')"
"('Fashion', 'Party')","('Man', 'Banister')"
"('Robe', 'Party')","('Hair', 'Crypt')"
"('Gown', 'Party')","('Head', 'Wood')"
"('Crypt', 'Dungeon')","('Pub', 'Halo')"
"('Clothing', 'Robe')","('Woman', 'Man')"
"('Clothing', 'Hat')","('Finger', 'Halo')"
"('Apparel', 'Robe')","('Clothing', 'Prison')"
"('Apparel', 'Hat')","('Apparel', 'Prison')"
"('Furniture', 'Wood')","('Face', 'Finger')"
"('Furniture', 'Door')","('Face', 'Light')"
"('Furniture', 'Couch')","('Face', 'Flooring')"
"('Man', 'Military')","('Coat', 'Ear')"
"('Female', 'Blossom')","('Room', 'Symbol')"
"('Female', 'Flower')","('Furniture', 'Performer')"
"('Female', 'Dress')","('Man', 'Blossom')"
