support,itemsets
0.14164946426816083,frozenset({'Accessories'})
0.14164946426816083,frozenset({'Accessory'})
0.010239522920148104,frozenset({'Advertisement'})
0.06233821553786166,frozenset({'Alcohol'})
0.01631770372554802,frozenset({'Alley'})
0.01631770372554802,frozenset({'Alleyway'})
0.0169730331924375,frozenset({'Animal'})
0.614977554965759,frozenset({'Apparel'})
0.021412890330613717,frozenset({'Architecture'})
0.020757560863724236,frozenset({'Arm'})
0.02144565680395819,frozenset({'Art'})
0.013516170254595498,frozenset({'Asleep'})
0.05676791506930109,frozenset({'Audience'})
0.023346112257937677,frozenset({'Automobile'})
0.016989416429109734,frozenset({'Baby'})
0.010714636783642977,frozenset({'Banister'})
0.15744290442019726,frozenset({'Bar Counter'})
0.021953537140797535,frozenset({'Bartender'})
0.011025918280415478,frozenset({'Beanie'})
0.03383138372816934,frozenset({'Bed'})
0.016743667879026182,frozenset({'Bedroom'})
0.02452570529833874,frozenset({'Beer'})
0.08789606474655133,frozenset({'Beverage'})
0.014482781218257478,frozenset({'Blanket'})
0.030767718470461024,frozenset({'Blazer'})
0.0802614764572889,frozenset({'Blonde'})
0.03474884498181461,frozenset({'Blossom'})
0.010731020020315214,frozenset({'Book'})
0.014335332088207347,frozenset({'Bottle'})
0.09125462826435991,frozenset({'Building'})
0.024132507618205054,frozenset({'Cafe'})
0.0187915724630558,frozenset({'Cafeteria'})
0.012762541367672598,frozenset({'Candle'})
0.027523837609358105,frozenset({'Cap'})
0.023346112257937677,frozenset({'Car'})
0.03355286870474131,frozenset({'Chair'})
0.10473803204561093,frozenset({'Child'})
0.030571119630394182,frozenset({'City'})
0.010845702677020872,frozenset({'Closet'})
0.614977554965759,frozenset({'Clothing'})
0.021134375307185687,frozenset({'Club'})
0.2565123365772142,frozenset({'Coat'})
0.015678757495330778,frozenset({'Computer'})
0.03548609063206527,frozenset({'Couch'})
0.029489826010026542,frozenset({'Countryside'})
0.09325338313837282,frozenset({'Court'})
0.15334709525213802,frozenset({'Crowd'})
0.013254038467839707,frozenset({'Curtain'})
0.0599626462203873,frozenset({'Cushion'})
0.16882925390740194,frozenset({'Dating'})
0.010812936203676399,frozenset({'Dining Room'})
0.02793341852616403,frozenset({'Dining Table'})
0.010731020020315214,frozenset({'Dish'})
0.031029850257216815,frozenset({'Display'})
0.03900848651659622,frozenset({'Door'})
0.016514302565614862,frozenset({'Dress'})
0.012516792817589042,frozenset({'Dressing Room'})
0.08789606474655133,frozenset({'Drink'})
