support,itemsets
0.7065858453473133,frozenset({'Accessories'})
0.7065858453473133,frozenset({'Accessory'})
0.4664154652686763,frozenset({'Alcohol'})
0.15465268676277852,frozenset({'Alley'})
0.15465268676277852,frozenset({'Alleyway'})
0.15219528178243774,frozenset({'Animal'})
1.0,frozenset({'Apparel'})
0.19003931847968544,frozenset({'Architecture'})
0.18889252948885976,frozenset({'Arm'})
0.19528178243774574,frozenset({'Art'})
0.12827653997378768,frozenset({'Asleep'})
0.44659239842726084,frozenset({'Audience'})
0.21379423328964614,frozenset({'Automobile'})
0.15776539973787682,frozenset({'Baby'})
0.10190039318479685,frozenset({'Banister'})
0.7626146788990825,frozenset({'Bar Counter'})
0.18692660550458715,frozenset({'Bartender'})
0.10271952817824377,frozenset({'Beanie'})
0.2921035386631717,frozenset({'Bed'})
0.1587483617300131,frozenset({'Bedroom'})
0.21788990825688073,frozenset({'Beer'})
0.5887942332896461,frozenset({'Beverage'})
0.13908912188728703,frozenset({'Blanket'})
0.26179554390563564,frozenset({'Blazer'})
0.546526867627785,frozenset({'Blonde'})
0.30193315858453473,frozenset({'Blossom'})
0.13564875491480996,frozenset({'Bottle'})
0.6189384010484927,frozenset({'Building'})
0.21363040629095675,frozenset({'Cafe'})
0.17250982961992137,frozenset({'Cafeteria'})
0.12287024901703801,frozenset({'Candle'})
0.23230668414154654,frozenset({'Cap'})
0.21379423328964614,frozenset({'Car'})
0.2917758846657929,frozenset({'Chair'})
0.6533420707732635,frozenset({'Child'})
0.2685124508519004,frozenset({'City'})
0.10026212319790301,frozenset({'Closet'})
1.0,frozenset({'Clothing'})
0.18102883355176932,frozenset({'Club'})
0.9488859764089121,frozenset({'Coat'})
0.14564220183486237,frozenset({'Computer'})
0.29669069462647446,frozenset({'Couch'})
0.2427916120576671,frozenset({'Countryside'})
0.5855176933158585,frozenset({'Court'})
0.8158584534731324,frozenset({'Crowd'})
0.12450851900393185,frozenset({'Curtain'})
0.463302752293578,frozenset({'Cushion'})
0.8253604193971167,frozenset({'Dating'})
0.10386631716906947,frozenset({'Dining Room'})
0.24328309305373524,frozenset({'Dining Table'})
0.1033748361730013,frozenset({'Dish'})
0.2675294888597641,frozenset({'Display'})
0.3269986893840105,frozenset({'Door'})
0.15432503276539974,frozenset({'Dress'})
0.12008519003931847,frozenset({'Dressing Room'})
0.5887942332896461,frozenset({'Drink'})
0.12975098296199214,frozenset({'Ear'})
0.1076343381389253,frozenset({'Electrical Device'})
0.4844364351245085,frozenset({'Electronics'})
0.21150065530799475,frozenset({'Evening Dress'})
1.0,frozenset({'Face'})
0.4139908256880734,frozenset({'Fashion'})
0.9960681520314548,frozenset({'Female'})
0.20560288335517693,frozenset({'Field'})
0.13401048492791612,frozenset({'Final Fantasy'})
0.5737221494102228,frozenset({'Finger'})
0.30193315858453473,frozenset({'Flower'})
0.1107470511140236,frozenset({'Flower Arrangement'})
0.5871559633027523,frozenset({'Food'})
0.34813237221494103,frozenset({'Food Court'})
0.1259829619921363,frozenset({'Footwear'})
0.9220183486238532,frozenset({'Furniture'})
0.8661533420707732,frozenset({'Girl'})
0.449213630406291,frozenset({'Glass'})
0.15088466579292267,frozenset({'Glasses'})
0.2932503276539974,frozenset({'Gown'})
0.17889908256880735,frozenset({'Grand Theft Auto'})
0.22624508519003933,frozenset({'Grass'})
0.10599606815203146,frozenset({'Grassland'})
0.8661533420707732,frozenset({'Hair'})
0.1823394495412844,frozenset({'Hand'})
0.10190039318479685,frozenset({'Handrail'})
0.38974442988204455,frozenset({'Hat'})
0.7696592398427261,frozenset({'Head'})
0.19397116644823068,frozenset({'Heel'})
0.606651376146789,frozenset({'Home Decor'})
