support,itemsets
0.026720183486238534,frozenset({'Absinthe'})
0.6048165137614679,frozenset({'Accessories'})
0.6048165137614679,frozenset({'Accessory'})
0.06915137614678898,frozenset({'Advertisement'})
0.014908256880733946,frozenset({'Agriculture'})
0.3577981651376147,frozenset({'Alcohol'})
0.11009174311926606,frozenset({'Alley'})
0.11009174311926606,frozenset({'Alleyway'})
0.04529816513761468,frozenset({'Alphabet'})
0.11146788990825689,frozenset({'Animal'})
0.033256880733944956,frozenset({'Apartment Building'})
0.9978211009174311,frozenset({'Apparel'})
0.03990825688073395,frozenset({'Appliance'})
0.016628440366972478,frozenset({'Arch'})
0.016628440366972478,frozenset({'Arched'})
0.13807339449541284,frozenset({'Architecture'})
0.05355504587155963,frozenset({'Arena'})
0.13704128440366972,frozenset({'Arm'})
0.14071100917431192,frozenset({'Art'})
0.09162844036697247,frozenset({'Asleep'})
0.03669724770642202,frozenset({'Asphalt'})
0.014334862385321102,frozenset({'Astronomy'})
0.3357798165137615,frozenset({'Audience'})
0.0106651376146789,frozenset({'Autograph'})
0.1536697247706422,frozenset({'Automobile'})
0.1139908256880734,frozenset({'Baby'})
0.01731651376146789,frozenset({'Back'})
0.0106651376146789,frozenset({'Backyard'})
0.03337155963302752,frozenset({'Bag'})
0.011123853211009175,frozenset({'Balcony'})
0.015825688073394496,frozenset({'Ball'})
0.01444954128440367,frozenset({'Balloon'})
0.07270642201834862,frozenset({'Banister'})
0.6611238532110092,frozenset({'Bar Counter'})
0.13910550458715595,frozenset({'Bartender'})
0.019724770642201836,frozenset({'Baseball'})
0.05860091743119266,frozenset({'Baseball Cap'})
0.018119266055045873,frozenset({'Baseball Field'})
0.016743119266055047,frozenset({'Bathroom'})
0.016743119266055047,frozenset({'Bazaar'})
0.07385321100917432,frozenset({'Beanie'})
0.01754587155963303,frozenset({'Beard'})
0.2161697247706422,frozenset({'Bed'})
0.11284403669724771,frozenset({'Bedroom'})
0.15791284403669725,frozenset({'Beer'})
