antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Art'}),frozenset({'Coat'}),0.24991679301800968,0.7260456344070115,0.17806294145926557,0.7124889020420243,0.9813279885966679,-0.0033880550764610606,0.9528479684392261
frozenset({'Child'}),frozenset({'Female'}),0.3546466476831478,0.8333271698531859,0.34580821715173254,0.9750782064650678,1.1701025020423315,0.05027152994001505,6.687834481623222
frozenset({'Glass'}),frozenset({'Clothing'}),0.2964017602899301,0.9954513516511964,0.2958840279575459,0.9982532751091703,1.0028147266597471,0.0008304950451410997,2.6041011796900455
frozenset({'Field'}),frozenset({'Interior Design'}),0.17591805036795977,0.5465774194741319,0.11208904996117007,0.6371662812697078,1.165738390515167,0.015936215952130267,1.2496704609278995
frozenset({'Urban'}),frozenset({'Coat'}),0.29732628231204467,0.7260456344070115,0.22902259531822047,0.770273631840796,1.0609162776247627,0.013150146051093797,1.1925246883419747
frozenset({'Home Decor'}),frozenset({'Lamp'}),0.3986169150549166,0.41732924078251543,0.2080914167375467,0.5220335838203916,1.2508914612394513,0.041736922214609895,1.219062133851954
frozenset({'Outdoors'}),frozenset({'Bar Counter'}),0.6199105062682593,0.5356310787322954,0.30997374357457197,0.5000298275964924,0.9335340077352078,-0.022069589615379137,0.9287932498759734
frozenset({'Bar Counter'}),frozenset({'Outdoors'}),0.5356310787322954,0.6199105062682593,0.30997374357457197,0.5787075393537697,0.9335340077352078,-0.022069589615379137,0.9021986606375832
frozenset({'Robe'}),frozenset({'Girl'}),0.26744573055730186,0.523797196849229,0.15132576457971228,0.5658185840707964,1.0802245362791871,0.01123844060450338,1.0967830166835593
frozenset({'Theater'}),frozenset({'Suit'}),0.12410783624865944,0.5053807181687068,0.09023334935838172,0.7270560190703218,1.4386303096502686,0.027511641944669957,1.81216409369631
frozenset({'Lampshade'}),frozenset({'Indoors'}),0.09529973003956954,0.961724788284457,0.09171258459376502,0.9623593325572372,1.00065979818812,6.047189789409879e-05,1.0168579442366452
frozenset({'Urban'}),frozenset({'Overcoat'}),0.29732628231204467,0.6018268555156984,0.18915720572464037,0.6361940298507464,1.0571047536680616,0.010218264178609715,1.0944656689414654
frozenset({'Night Life'}),frozenset({'Girl'}),0.2746570023297955,0.523797196849229,0.1651566140305462,0.6013195098963242,1.1480006260312412,0.021292046115187174,1.194447220196142
frozenset({'Tuxedo'}),frozenset({'Building'}),0.17125845937650236,0.6230169002625643,0.10694870751821309,0.6244871518030662,1.0023598903013422,0.00025179301372230123,1.0039153162070527
frozenset({'Night Life'}),frozenset({'People'}),0.2746570023297955,0.9045893273177767,0.24877038571058763,0.9057492931196983,1.0012823120579601,0.00031859272996087595,1.0123072371583879
frozenset({'Night Life'}),frozenset({'Performer'}),0.2746570023297955,0.4033504678081432,0.14034244295699125,0.5109734751582066,1.2668225673194338,0.029559412580485944,1.2200760120013547
frozenset({'Grand Theft Auto'}),frozenset({'Building'}),0.4479494101549499,0.6230169002625643,0.26840723346030104,0.5991909518698919,0.9617571395212053,-0.010672819528879884,0.9405553629494459
frozenset({'Screen'}),frozenset({'Female'}),0.34477275248696426,0.8333271698531859,0.28841389001886025,0.836533304730237,1.003847390308438,0.0011053879464053562,1.0196133828469474
frozenset({'Window'}),frozenset({'Room'}),0.12273954365592989,0.9030361303206242,0.11016604415517178,0.8975595058752637,0.9939353207900817,-0.0006721983851984692,0.9465384807819067
frozenset({'Housing'}),frozenset({'Bar Counter'}),0.33637809252616396,0.5356310787322954,0.17920934876668762,0.5327616534740546,0.9946429074559451,-0.0009652117950134653,0.9938587547884803
frozenset({'Head'}),frozenset({'Apparel'}),0.7611035094855959,0.9954513516511964,0.7572574978735993,0.9949467955881638,0.9994931384017957,-0.0003840193903063005,0.9001512660262193
frozenset({'Apparel'}),frozenset({'Head'}),0.9954513516511964,0.7611035094855959,0.7572574978735993,0.7607177353443791,0.9994931384017957,-0.0003840193903063005,0.9983877863168339
frozenset({'Door'}),frozenset({'Pub'}),0.26837025257941644,0.5695055656225732,0.1528049998150956,0.5693812870332093,0.9997817780951307,-3.33526764177694e-05,0.9997113952886357
frozenset({'Screen'}),frozenset({'Face'}),0.34477275248696426,0.9936762693687363,0.34240597611035095,0.9931352568915585,0.9994555445331088,-0.00018652636088639651,0.921189698051107
frozenset({'Beverage'}),frozenset({'Female'}),0.4114492807218668,0.8333271698531859,0.35516438001553197,0.863203307567859,1.0358516304225827,0.01229251537344972,1.218398100008839
frozenset({'Electronics'}),frozenset({'Accessory'}),0.4836359602085722,0.6430605377020081,0.310676380311379,0.6423765101697507,0.998936293720181,-0.00033082031237241516,0.998087296970951
frozenset({'Chair'}),frozenset({'Bar Counter'}),0.4000591694094153,0.5356310787322954,0.22865278650937465,0.5715474209650583,1.067054253681037,0.014368662041863406,1.083828045366565
frozenset({'Girl'}),frozenset({'Kid'}),0.523797196849229,0.3546466476831478,0.3198846196516401,0.6107031911889297,1.7220046916517047,0.13412169972323118,1.6577411828465534
frozenset({'Kid'}),frozenset({'Girl'}),0.3546466476831478,0.523797196849229,0.3198846196516401,0.9019812304483839,1.7220046916517047,0.13412169972323118,4.858281789591382
frozenset({'Make Out'}),frozenset({'Portrait'}),0.1314300506638068,0.7501201878628749,0.10014422543544987,0.7619583567810918,1.0157816961998374,0.0015558911406879372,1.0497315039424855
frozenset({'Restaurant'}),frozenset({'Apparel'}),0.38515587441292853,0.9954513516511964,0.38323286860693023,0.9950072011521843,0.9995538199849995,-0.00017106717381792924,0.9110417798613408
frozenset({'City'}),frozenset({'Suit'}),0.20846122554639251,0.5053807181687068,0.11841278059243371,0.5680326414759623,1.1239697539990852,0.013060496715469092,1.1450385592127308
frozenset({'Apparel'}),frozenset({'Girl'}),0.9954513516511964,0.523797196849229,0.5223919233756148,0.5247789583178541,1.001874316003466,0.000977295780942078,1.0020659048790221
frozenset({'Girl'}),frozenset({'Apparel'}),0.523797196849229,0.9954513516511964,0.5223919233756148,0.9973171420502682,1.0018743160034662,0.000977295780942078,1.6954488213803496
frozenset({'Jacket'}),frozenset({'Photography'}),0.39994822676676156,0.8512259162013239,0.34325653637069636,0.8582524271844661,1.0082545783080696,0.0028102406080648956,1.0495705911824418
frozenset({'Room'}),frozenset({'Accessories'}),0.9030361303206242,0.6430605377020081,0.5928774823416294,0.6565379417666571,1.0209582197545675,0.012170582813308073,1.0392398628657047
frozenset({'Accessories'}),frozenset({'Room'}),0.6430605377020081,0.9030361303206242,0.5928774823416294,0.9219621599861981,1.0209582197545675,0.012170582813308073,1.2425237508140488
frozenset({'Coat'}),frozenset({'Photo'}),0.7260456344070115,0.8512259162013239,0.6152878961576865,0.8474507207253096,0.995564989970158,-0.0027409641943932916,0.9752526167677497
frozenset({'Photo'}),frozenset({'Coat'}),0.8512259162013239,0.7260456344070115,0.6152878961576865,0.7228256147362934,0.9955649899701579,-0.0027409641943932916,0.9883826939215375
frozenset({'Shelf'}),frozenset({'Head'}),0.15520875707259346,0.7611035094855959,0.12710328760031064,0.8189182749583036,1.0759617644015105,0.00897335788946245,1.3192744351170451
frozenset({'Arm'}),frozenset({'Accessory'}),0.25124810472985465,0.6430605377020081,0.14441033985429533,0.5747718575213424,0.8938067628520685,-0.017157401469895445,0.8394069597966622
frozenset({'Blossom'}),frozenset({'Face'}),0.176694648866536,0.9936762693687363,0.176250878295921,0.9974884889074928,1.0038364804074251,0.0006735987928027098,2.5178987463482345
frozenset({'Restaurant'}),frozenset({'Man'}),0.38515587441292853,0.8730816168041122,0.32853814577863244,0.8530004800768123,0.9769997027301911,-0.0077343677754088125,0.8633931815709804
frozenset({'Gown'}),frozenset({'Photography'}),0.23534632594948413,0.8512259162013239,0.1971820568765948,0.8378378378378377,0.9842720033440338,-0.003150835054370249,0.9174401834251684
frozenset({'Gown'}),frozenset({'Photo'}),0.23534632594948413,0.8512259162013239,0.1971820568765948,0.8378378378378377,0.9842720033440338,-0.003150835054370249,0.9174401834251684
frozenset({'Hand'}),frozenset({'Accessories'}),0.1931511408601753,0.6430605377020081,0.12521726267519692,0.6482864254260003,1.0081265874946503,0.0010093861758962847,1.0148583623203111
frozenset({'Pedestrian'}),frozenset({'Photo'}),0.22048001183388188,0.8512259162013239,0.18338818830664547,0.8317678631331767,0.977141141149719,-0.004290111770729382,0.8843380733875439
frozenset({'Drink'}),frozenset({'Man'}),0.4114492807218668,0.8730816168041122,0.35597795939499277,0.8651806579183893,0.9909504922178477,-0.00325084385054375,0.941395954291631
frozenset({'Wine'}),frozenset({'Building'}),0.1562072408564772,0.6230169002625643,0.09629821382345327,0.6164772727272727,0.9895032903079587,-0.0010215371735169398,0.9829485267227953
frozenset({'Television'}),frozenset({'People'}),0.12787988609888687,0.9045893273177767,0.1122369734847084,0.8776749566223251,0.9702468624350719,-0.0034418066589575746,0.7799766102485298
frozenset({'Pottery'}),frozenset({'Hair'}),0.1597943863022817,0.7057801116822603,0.12037276727931659,0.7532978477204351,1.0673265444175155,0.007593067468693954,1.1926117611828828
frozenset({'Gown'}),frozenset({'Man'}),0.23534632594948413,0.8730816168041122,0.20313597869901262,0.8631363922061597,0.9886090550911417,-0.0023405720698705668,0.9273347768755797
frozenset({'Flower'}),frozenset({'Furniture'}),0.176694648866536,0.8551458895750896,0.1611626788950113,0.9120971117622437,1.0665982528612192,0.010062976206879265,1.647887951452911
frozenset({'Hair'}),frozenset({'Portrait'}),0.7057801116822603,0.7501201878628749,0.5572648940497763,0.7895729630599948,1.052595271845066,0.027844984084798408,1.1874890972701775
frozenset({'Portrait'}),frozenset({'Hair'}),0.7501201878628749,0.7057801116822603,0.5572648940497763,0.7429008085190298,1.052595271845066,0.027844984084798408,1.1443827832477533
frozenset({'Soldier'}),frozenset({'Furniture'}),0.13653341222587922,0.8551458895750896,0.10206723124144818,0.7475622968580715,0.8741927032234524,-0.014688755013173738,0.5738212185501814
frozenset({'Pedestrian'}),frozenset({'Road'}),0.22048001183388188,0.2238452719943789,0.11319847638770755,0.5134183160013418,2.2936303788191448,0.06384506816942839,1.5951170246016935
frozenset({'Road'}),frozenset({'Pedestrian'}),0.2238452719943789,0.22048001183388188,0.11319847638770755,0.5056996530645961,2.293630378819145,0.06384506816942839,1.5770168744550512
frozenset({'Food'}),frozenset({'Female'}),0.408416848489331,0.8333271698531859,0.3617839576938723,0.8858203549438609,1.06299228801087,0.021439101221900625,1.4597420587957295
frozenset({'Table Lamp'}),frozenset({'Accessory'}),0.32683702525794167,0.6430605377020081,0.22292074997226433,0.6820547635211586,1.060638499072727,0.012744756768967552,1.1226444725230078
frozenset({'Shop'}),frozenset({'Bar Counter'}),0.17484560482230688,0.5356310787322954,0.11105358529640176,0.6351522842639593,1.1858017756684427,0.017400845373828897,1.272774643335482
frozenset({'Sport'}),frozenset({'Building'}),0.2387855478717503,0.6230169002625643,0.15990532894493548,0.6696608332042745,1.0748678453538782,0.011137897082379444,1.141200128928562
frozenset({'Theater'}),frozenset({'Face'}),0.12410783624865944,0.9936762693687363,0.1229244480603528,0.9904648390941597,0.9967681322644277,-0.00039856366264114096,0.6632012499537789
frozenset({'Home Decor'}),frozenset({'Outdoors'}),0.3986169150549166,0.6199105062682593,0.23841573906290447,0.598107431116059,0.964828672958859,-0.008691074555880557,0.9457489965222607
frozenset({'Home Decor'}),frozenset({'Accessory'}),0.3986169150549166,0.6430605377020081,0.2755815243519101,0.6913442805455052,1.0750842883564902,0.019246716619579718,1.1564323607183815
frozenset({'Girl'}),frozenset({'Woman'}),0.523797196849229,0.6391775452091268,0.4792722162641914,0.9149957639085003,1.4315205075127146,0.14447280979467947,4.2447585130049195
frozenset({'Woman'}),frozenset({'Girl'}),0.6391775452091268,0.523797196849229,0.4792722162641914,0.7498264290673455,1.4315205075127146,0.14447280979467947,1.9034896507071986
frozenset({'Vehicle'}),frozenset({'Dating'}),0.5268666099626493,0.6166561887504161,0.30213379682704045,0.5734540605039657,0.9299413043530876,-0.022761758852378855,0.8987163532783976
frozenset({'Architecture'}),frozenset({'Coat'}),0.25812654857438705,0.7260456344070115,0.20753670352427794,0.8040114613180516,1.10738419627675,0.02012504980729482,1.3978080934496049
frozenset({'Dress'}),frozenset({'Photo'}),0.14004659590991458,0.8512259162013239,0.12148219370585407,0.8674412463691575,1.019049384962568,0.002270901791560448,1.122325608258139
frozenset({'Cushion'}),frozenset({'Clothing'}),0.3246181724048667,0.9954513516511964,0.3231019562885988,0.9953292321713374,0.9998773225033485,-3.96422023668519e-05,0.9738545172145864
frozenset({'Hug'}),frozenset({'Suit'}),0.24167005658074775,0.5053807181687068,0.125032358270774,0.5173680183626626,1.0237193461543068,0.0028969715161236975,1.0248373515432787
frozenset({'Human'}),frozenset({'Room'}),1.0,0.9030361303206242,0.9030361303206242,0.9030361303206242,1.0,0.0,1.0
frozenset({'Robe'}),frozenset({'Room'}),0.26744573055730186,0.9030361303206242,0.25675825598165747,0.9600387168141593,1.0631232622700226,0.015245098388419254,2.4264453478243797
