antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Furniture'}),frozenset({'Portrait'}),0.7237065458320474,0.4882088044667658,0.36878524732751605,0.5095784326553556,1.043771492838869,0.015465339802079536,1.0435739975798664
frozenset({'Portrait'}),frozenset({'Furniture'}),0.4882088044667658,0.7237065458320474,0.36878524732751605,0.7553842617203775,1.043771492838869,0.015465339802079536,1.1294999091682278
frozenset({'Indoors'}),frozenset({'Overcoat'}),0.8050103813024326,0.6416486630565921,0.5521064223787211,0.6858376428456286,1.0688678747938718,0.03557258746933778,1.1406565070025982
frozenset({'Overcoat'}),frozenset({'Indoors'}),0.6416486630565921,0.8050103813024326,0.5521064223787211,0.8604497354497355,1.0688678747938716,0.03557258746933778,1.3972715804299616
frozenset({'Female'}),frozenset({'Clothing'}),0.6566770012064757,0.863885693442945,0.593193232513117,0.9033257315594675,1.0456542322854514,0.02589936595782716,1.4079683120724453
frozenset({'Clothing'}),frozenset({'Female'}),0.863885693442945,0.6566770012064757,0.593193232513117,0.6866570855560699,1.0456542322854516,0.02589936595782716,1.0956781946156273
frozenset({'Wood'}),frozenset({'Human'}),0.36270727532897507,0.880127521674476,0.333208243315283,0.9186698640468778,1.0437917704233057,0.0139795879866903,1.4738998886540298
frozenset({'Cushion'}),frozenset({'Accessory'}),0.2755604500434892,0.5792205605903313,0.17496001795684746,0.6349242713503882,1.0961701198992049,0.015349739606133644,1.1525812492824457
frozenset({'Electronics'}),frozenset({'Accessories'}),0.4567036559019107,0.5784910636626357,0.288775567464437,0.6323040416529078,1.0930230065259137,0.024576583783126327,1.1463518343584143
frozenset({'Performer'}),frozenset({'Apparel'}),0.37229945848881907,0.8638295782946607,0.33675752644426366,0.9045340216479987,1.0471209187276211,0.015154242218536562,1.426376433322172
frozenset({'Apparel'}),frozenset({'People'}),0.8638295782946607,0.6424588255099464,0.5800517662242922,0.6714886602626043,1.0451855178884277,0.025076829912352272,1.0883678316123386
frozenset({'People'}),frozenset({'Apparel'}),0.6424588255099464,0.8638295782946607,0.5800517662242922,0.9028621651572472,1.045185517888428,0.025076829912352272,1.4018268157384053
frozenset({'Restaurant'}),frozenset({'Electronics'}),0.33051471619763756,0.4567036559019107,0.17586487472293147,0.5320939313872176,1.1650748237090947,0.024917595506087936,1.1611226708574633
frozenset({'Screen'}),frozenset({'Table'}),0.31644734996212226,0.4473499621222749,0.18635139305855616,0.5888859334131312,1.3163875785735957,0.0447886830393065,1.3442742119380866
frozenset({'Dating'}),frozenset({'Accessories'}),0.3872576527033473,0.5784910636626357,0.25260234000168347,0.6522849535401837,1.1275627136058632,0.028577248577828535,1.2122251844689038
frozenset({'Child'}),frozenset({'Indoors'}),0.27572879548834206,0.8050103813024326,0.2385314665694004,0.8650945076191203,1.0746377037020034,0.016566923777269704,1.4453793930572651
frozenset({'Apparel'}),frozenset({'Photo'}),0.8638295782946607,0.602785415672961,0.5431770994079852,0.6288012277610413,1.0431593257096903,0.02247322798503959,1.0700859324807592
frozenset({'Photo'}),frozenset({'Apparel'}),0.602785415672961,0.8638295782946607,0.5431770994079852,0.9011118804219443,1.0431593257096903,0.02247322798503959,1.3770149769897841
frozenset({'Clothing'}),frozenset({'Plant'}),0.863885693442945,0.48519261524648577,0.4408406049212985,0.510299693891636,1.0517466215605846,0.02168964604569218,1.0512702939572889
