antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Food Court'}),frozenset({'Drink'}),0.02356500160872186,0.056593725614920064,0.012488859138834546,0.5299748901443817,9.364552066257005,0.011155227903675392,2.0071401603945676
frozenset({'Leisure Activities'}),frozenset({'Clothing'}),0.048420678917607554,0.5258449487982663,0.03141630393378723,0.6488199801420607,1.2338617716588016,0.005954534507580593,1.3501766170909744
frozenset({'Mammal'}),frozenset({'Human'}),0.026841616709997376,0.926712549139981,0.021371962381795926,0.7962248553320473,0.8591929137799736,-0.003502500662564051,0.3596486263299646
frozenset({'Room'}),frozenset({'Human'}),0.2547290875403567,0.926712549139981,0.24911520297632037,0.9779613525167323,1.055301725895815,0.013054560921695019,3.3254060130350904
frozenset({'Monitor'}),frozenset({'Indoors'}),0.03658640315679306,0.3304499613536932,0.023879349558618496,0.6526837157586172,1.9751363053119708,0.011789374049385591,1.927781877860277
frozenset({'Pottery'}),frozenset({'Vase'}),0.017747715430046485,0.010462239414795063,0.010462239414795063,0.5894978120441758,56.345280266722234,0.010276558566900264,2.4105541690601004
frozenset({'Soldier'}),frozenset({'Human'}),0.01813602760344821,0.926712549139981,0.01800289200113905,0.9926590538336054,1.071161769369396,0.0011960076294744992,9.983379417153968
frozenset({'Grand Theft Auto'}),frozenset({'Human'}),0.06445242436233593,0.926712549139981,0.06052492409421563,0.9390635758549462,1.0133277861904721,0.0007960536151434827,1.2026870937743999
frozenset({'Pillow'}),frozenset({'Bed'}),0.02305834667771199,0.019382324769508987,0.01182318112728873,0.5127506014434643,26.454545960868955,0.011376256763333387,2.0125580003496086
frozenset({'Bed'}),frozenset({'Pillow'}),0.019382324769508987,0.02305834667771199,0.01182318112728873,0.6099980919671819,26.45454596086896,0.011376256763333387,2.504966342985378
frozenset({'Blazer'}),frozenset({'Tie'}),0.02757386252269777,0.0753621473293368,0.015502901246666987,0.5622317596566523,7.460399943219081,0.013424875756792558,2.1121629379633773
frozenset({'Pet'}),frozenset({'Human'}),0.016627157443944364,0.926712549139981,0.013028797970421706,0.7835854092526691,0.8455538990810705,-0.0023797974894077863,0.33864376060292434
frozenset({'Clothing'}),frozenset({'Face'}),0.5258449487982663,0.46600419377147273,0.2893073620289866,0.5501761739656373,1.1806249414043735,0.044261410615449165,1.1871221027490317
frozenset({'Face'}),frozenset({'Clothing'}),0.46600419377147273,0.5258449487982663,0.2893073620289866,0.6208256618627389,1.1806249414043735,0.044261410615449165,1.2504935158087878
frozenset({'Cafeteria'}),frozenset({'Indoors'}),0.016120502512934492,0.3304499613536932,0.010458541203619809,0.6487726542785043,1.963300741875706,0.005131521771218492,1.9063152308682245
frozenset({'Table Lamp'}),frozenset({'Clothing'}),0.044674390997074716,0.5258449487982663,0.023121216267691317,0.5175496688741722,0.9842248557430254,-0.00037058657875916473,0.9828059400337926
frozenset({'Walking'}),frozenset({'Person'}),0.012381611014752164,0.926712549139981,0.012363119958875892,0.9985065710872164,1.0774717273591068,0.000888925652935248,49.07327709587402
frozenset({'Bartender'}),frozenset({'Bar Counter'}),0.014530271707575046,0.09177480852511641,0.013639002814338705,0.9386612369559685,10.227874642735769,0.012305489910558088,14.806708619522075
frozenset({'Street'}),frozenset({'Human'}),0.013124951460978324,0.926712549139981,0.010595375017104227,0.8072696534234997,0.8711111705271195,-0.0015676822086375143,0.38025901038334425
frozenset({'Armored'}),frozenset({'People'}),0.013631606391988195,0.25353826354192477,0.011645666990876513,0.8543136190992947,3.369564842657473,0.008189533176964824,5.123757840939417
frozenset({'Wine'}),frozenset({'Furniture'}),0.01821738824930381,0.1932685160188017,0.010218157477228264,0.5609013398294762,2.9021868195796054,0.00669730988454696,1.8372442395244486
frozenset({'Sport'}),frozenset({'Human'}),0.03083938299044752,0.926712549139981,0.029496932333830127,0.9564696006715433,1.0321103362193356,0.0009176891088483324,1.6835924317402136
frozenset({'Restaurant'}),frozenset({'Furniture'}),0.050972444628533176,0.1932685160188017,0.03378315908595013,0.6627729812087355,3.4292858188255506,0.02393179035474298,2.3922504396972593
frozenset({'Drink'}),frozenset({'Pub'}),0.056593725614920064,0.10186722682238601,0.03962633274285228,0.7001895053257531,6.873550278801559,0.03386128685891334,2.9956682275364046
frozenset({'Beverage'}),frozenset({'Dating'}),0.056593725614920064,0.10541750955063035,0.028735100831727693,0.5077435796902569,4.816501374910548,0.022769131221211103,1.8173099497340641
frozenset({'Beverage'}),frozenset({'Glass'}),0.056593725614920064,0.03783639853402909,0.03204130162240524,0.56616349735346,14.963461621334469,0.029899998865513634,2.217802318607283
frozenset({'Glass'}),frozenset({'Beverage'}),0.03783639853402909,0.056593725614920064,0.03204130162240524,0.8468380412471898,14.963461621334467,0.029899998865513634,6.159533882089178
frozenset({'Woman'}),frozenset({'Apparel'}),0.1248368164318919,0.5258449487982663,0.09561724993620585,0.7659379073349922,1.4565850809928282,0.029972440591439095,2.0257660939584508
frozenset({'Screen'}),frozenset({'Indoors'}),0.043065669135838994,0.3304499613536932,0.02874989367642871,0.667582653499356,2.0202231247496405,0.014518844974819776,2.0141850168008895
frozenset({'Kid'}),frozenset({'Person'}),0.048494643141112646,0.926712549139981,0.04837999859467975,0.9976359338061465,1.0765322372422652,0.003439404229745556,31.000591713786527
frozenset({'Night Life'}),frozenset({'Pub'}),0.03566554857415468,0.10186722682238601,0.019175224943694735,0.5376399834093737,5.27785039585689,0.015542074417346494,1.9424966280612042
frozenset({'Gown'}),frozenset({'Human'}),0.03170476440545708,0.926712549139981,0.03158642164784894,0.9962673509856527,1.0750554224286923,0.002205218605785271,19.63416613196715
