antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Bird'}),frozenset({'Child'}),0.03309305373525557,0.6533420707732635,0.023591087811271297,0.7128712871287128,1.0911149289452515,0.001970003555668544,1.207325891444841
frozenset({'Fashion'}),frozenset({'Child'}),0.4139908256880734,0.6533420707732635,0.28456749672346004,0.6873763355757816,1.0520925657860007,0.014089873387281016,1.1088665660202068
frozenset({'Mobile Phone'}),frozenset({'Finger'}),0.07323066841415465,0.5737221494102228,0.043086500655307995,0.5883668903803132,1.0255258420563769,0.0010724441699918735,1.0355771696392957
frozenset({'Graphics'}),frozenset({'Hair'}),0.03784403669724771,0.8661533420707732,0.0337483617300131,0.8917748917748917,1.0295808472468204,0.0009696228672430168,1.2367431192660543
frozenset({'Transportation'}),frozenset({'Female'}),0.370740498034076,0.9960681520314548,0.36926605504587157,0.9960229783473267,0.9999546479986977,-1.6747714151721382e-05,0.9886413280908876
frozenset({'Ear'}),frozenset({'Building'}),0.12975098296199214,0.6189384010484927,0.0737221494102228,0.5681818181818181,0.9179941286876173,-0.006585716518742832,0.8824584396771746
frozenset({'Blouse'}),frozenset({'Home Decor'}),0.020150720838794232,0.606651376146789,0.013433813892529489,0.6666666666666667,1.0989287964713297,0.0012093513653251894,1.1800458715596334
frozenset({'Word'}),frozenset({'Outdoors'}),0.05717562254259502,0.6438401048492791,0.039482306684141544,0.6905444126074498,1.0725402276223597,0.0026703478714943593,1.1509241056259405
frozenset({'Interview'}),frozenset({'Drink'}),0.03702490170380079,0.5887942332896461,0.020478374836173003,0.5530973451327434,0.9393728977991838,-0.0013216737751408913,0.9201237948172277
frozenset({'Dining Room'}),frozenset({'Accessories'}),0.10386631716906947,0.7065858453473133,0.07585190039318479,0.7302839116719242,1.0335388353455657,0.002461430873165679,1.0878630061392007
frozenset({'Wall'}),frozenset({'Finger'}),0.0706094364351245,0.5737221494102228,0.04423328964613368,0.6264501160092808,1.0919050565735722,0.0037230920059295528,1.1411537490943726
frozenset({'Wrist'}),frozenset({'Girl'}),0.0276867627785059,0.8661533420707732,0.02326343381389253,0.8402366863905325,0.9700784440567072,-0.000717548297831043,0.8377809329644194
frozenset({'Woman'}),frozenset({'Portrait'}),0.9431520314547838,0.8491153342070773,0.8076671035386632,0.8563487927740143,1.0085188174980868,0.006822251141850644,1.0503543179804795
frozenset({'Portrait'}),frozenset({'Woman'}),0.8491153342070773,0.9431520314547838,0.8076671035386632,0.9511865714836968,1.0085188174980866,0.006822251141850644,1.1645969208294713
