antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Pottery'}),frozenset({'Kid'}),0.20855176933158584,0.6533420707732635,0.13286369593709044,0.6370777690494894,0.9751059935501714,-0.0033919489014358206,0.9551851599689084
frozenset({'Wine Glass'}),frozenset({'Plant'}),0.2092070773263434,0.7850589777195282,0.16120576671035386,0.7705559906029756,0.9815262451253263,-0.0030341275471555684,0.9367907353316125
frozenset({'Electrical Device'}),frozenset({'Woman'}),0.1076343381389253,0.9431520314547838,0.10206422018348624,0.9482496194824962,1.0054048423347501,0.000548675513467739,1.0985033921825609
frozenset({'Bar Counter'}),frozenset({'Beverage'}),0.7626146788990825,0.5887942332896461,0.5257208387942333,0.6893662728249195,1.1708101639742095,0.07669771363641831,1.3237640691816719
frozenset({'Beverage'}),frozenset({'Bar Counter'}),0.5887942332896461,0.7626146788990825,0.5257208387942333,0.8928770172509739,1.1708101639742095,0.07669771363641831,2.216007387108306
frozenset({'Speech'}),frozenset({'Female'}),0.19003931847968544,0.9960681520314548,0.18938401048492792,0.9965517241379311,1.0004854809437387,9.189771355053167e-05,1.1402359108781357
frozenset({'Dress'}),frozenset({'Kid'}),0.15432503276539974,0.6533420707732635,0.10992791612057667,0.7123142250530785,1.0902622943139395,0.009100879641478668,1.2049880787143386
frozenset({'Shelf'}),frozenset({'Woman'}),0.19331585845347313,0.9431520314547838,0.17988204456094364,0.9305084745762712,0.9865943597035886,-0.0024442000518749563,0.8180561327238431
frozenset({'Pendant'}),frozenset({'Pub'}),0.20445609436435125,0.7824377457404981,0.13859764089121887,0.6778846153846153,0.8663751449555468,-0.02137652468613066,0.6754171475518864
frozenset({'Speech'}),frozenset({'Photography'}),0.19003931847968544,0.9275884665792923,0.17267365661861075,0.9086206896551725,0.9795515170708535,-0.0036046233997344412,0.7924281015851041
frozenset({'Glasses'}),frozenset({'Woman'}),0.15088466579292267,0.9431520314547838,0.143348623853211,0.9500542888165038,1.0073182871175854,0.0010414447952398764,1.138195196307481
frozenset({'Animal'}),frozenset({'Plant'}),0.15219528178243774,0.7850589777195282,0.13040629095674966,0.8568353067814855,1.091427945032176,0.010924018626893559,1.5013549601395362
frozenset({'Door'}),frozenset({'Man'}),0.3269986893840105,0.8614023591087812,0.2870249017038008,0.8777555110220441,1.0189843361123159,0.005347459242934616,1.1337741443396425
frozenset({'Blossom'}),frozenset({'Dating'}),0.30193315858453473,0.8253604193971167,0.2468872870249017,0.817688551275095,0.9907048267136125,-0.0023163913743260156,0.9579188900330774
frozenset({'Home Decor'}),frozenset({'Kid'}),0.606651376146789,0.6533420707732635,0.41284403669724773,0.6805293005671078,1.0416125503163556,0.016493170368054644,1.0851008553901993
frozenset({'Kid'}),frozenset({'Home Decor'}),0.6533420707732635,0.606651376146789,0.41284403669724773,0.6318956870611836,1.0416125503163556,0.016493170368054644,1.0685792315576332
frozenset({'Pedestrian'}),frozenset({'Plant'}),0.21068152031454784,0.7850589777195282,0.16120576671035386,0.765163297045101,0.9746570878888349,-0.004191652252181072,0.9152786577903533
frozenset({'Asleep'}),frozenset({'Indoors'}),0.12827653997378768,0.9885321100917431,0.12549148099606816,0.9782886334610473,0.9896376895336813,-0.0013139977394880098,0.528197517539127
frozenset({'Grass'}),frozenset({'Child'}),0.22624508519003933,0.6533420707732635,0.14220183486238533,0.6285300506879073,0.962022926128131,-0.0056135975979483554,0.9332058484641779
frozenset({'Leisure Activities'}),frozenset({'Night Life'}),0.3584534731323722,0.3810615989515072,0.20249017038007863,0.5648994515539305,1.4824360499936335,0.06589731675853575,1.4225180898047294
frozenset({'Night Life'}),frozenset({'Leisure Activities'}),0.3810615989515072,0.3584534731323722,0.20249017038007863,0.531384350816853,1.4824360499936338,0.06589731675853575,1.3690249738478002
frozenset({'Blazer'}),frozenset({'Man'}),0.26179554390563564,0.8614023591087812,0.23820445609436436,0.9098873591989988,1.0562861241062549,0.012693156969883324,1.5380488204456095
frozenset({'Lampshade'}),frozenset({'Room'}),0.13564875491480996,0.9462647444298821,0.12172346002621232,0.8973429951690821,0.9483001458642792,-0.006636174375482029,0.5234446072006782
frozenset({'Shirt'}),frozenset({'Man'}),0.30307994757536044,0.8614023591087812,0.27719528178243774,0.9145945945945945,1.0617507427549266,0.01612149994245654,1.6228204787895852
frozenset({'Restaurant'}),frozenset({'Head'}),0.5019659239842726,0.7696592398427261,0.3636959370904325,0.7245430809399478,0.9413816445418138,-0.02264677439025442,0.8362133757368332
frozenset({'City'}),frozenset({'Plant'}),0.2685124508519004,0.7850589777195282,0.2060943643512451,0.7675411836485662,0.977686015231813,-0.004703745819512883,0.9246413005713735
frozenset({'Bed'}),frozenset({'Woman'}),0.2921035386631717,0.9431520314547838,0.27244429882044563,0.9326977005047673,0.9889155400175611,-0.0030537470648557274,0.8446660659676719
