support,itemsets
0.645150678205364,frozenset({'Accessories'})
0.645153133247407,frozenset({'Accessory'})
0.202302829435954,frozenset({'Alcohol'})
0.209682685815995,frozenset({'Animal'})
0.998033511323881,frozenset({'Apparel'})
0.239418155035905,frozenset({'Architecture'})
0.256119806051679,frozenset({'Art'})
0.345932609095931,frozenset({'Audience'})
0.289405266065181,frozenset({'Automobile'})
0.560640765973117,frozenset({'Bar Counter'})
0.131732645921561,frozenset({'Bed'})
0.280714417234395,frozenset({'Beverage'})
0.190209292334131,frozenset({'Blazer'})
0.172039526176886,frozenset({'Blonde'})
0.158092432332904,frozenset({'Blossom'})
0.542006996869821,frozenset({'Building'})
0.123854416006874,frozenset({'Cafeteria'})
0.289405266065181,frozenset({'Car'})
0.323520530289081,frozenset({'Chair'})
0.277844473086602,frozenset({'Child'})
0.185954704474314,frozenset({'City'})
0.998033511323881,frozenset({'Clothing'})
0.138115755232308,frozenset({'Club'})
0.857025716565396,frozenset({'Coat'})
0.127203093352974,frozenset({'Computer'})
0.187822991468729,frozenset({'Couch'})
0.376507702694409,frozenset({'Court'})
0.705355674215921,frozenset({'Crowd'})
0.17124900263917,frozenset({'Crypt'})
0.259421837598969,frozenset({'Cushion'})
0.387896642730007,frozenset({'Dating'})
,
0.170193334560854,frozenset({'Dining Table'})
0.258820352298533,frozenset({'Display'})
0.313587430184742,frozenset({'Door'})
,
0.280714417234395,frozenset({'Drink'})
0.192674154544897,frozenset({'Dungeon'})
0.467064383477567,frozenset({'Electronics'})
0.233923770944577,frozenset({'Evening Dress'})
0.964713680721782,frozenset({'Face'})
0.407782483275026,frozenset({'Fashion'})
0.776188547228871,frozenset({'Female'})
0.496836678328116,frozenset({'Finger'})
0.128639292947892,frozenset({'Flooring'})
0.158092432332904,frozenset({'Flower'})
0.357206162155527,frozenset({'Food'})
0.197022034002332,frozenset({'Food Court'})
,
0.825561897747499,frozenset({'Furniture'})
0.403171914319033,frozenset({'Girl'})
0.225399864972688,frozenset({'Glass'})
0.174668876204505,frozenset({'Glasses'})
0.313476953292825,frozenset({'Gown'})
0.158247099981587,frozenset({'Grand Theft Auto'})
0.134705701835144,frozenset({'Grass'})
0.666649481372368,frozenset({'Hair'})
0.141982446449395,frozenset({'Hand'})
0.273445037746271,frozenset({'Hat'})
0.65544957957405,frozenset({'Head'})
0.417558460688639,frozenset({'Home Decor'})
0.215415208985454,frozenset({'Housing'})
1,frozenset({'Human'})
0.932793224083962,frozenset({'Indoors'})
0.461972626281225,frozenset({'Interior Design'})
0.45189222365433,frozenset({'Jacket'})
0.143092125452648,frozenset({'Jaw'})
0.277844473086602,frozenset({'Kid'})
0.331467501380961,frozenset({'Lamp'})
0.464032406554962,frozenset({'Leisure Activities'})
0.179299085496839,frozenset({'Light'})
0.208332412692567,frozenset({'Lighting'})
0.163459154238016,frozenset({'Machine'})
0.797451666359786,frozenset({'Man'})
0.134364450991223,frozenset({'Meal'})
0.13345363039342,frozenset({'Military'})
,
0.258820352298533,frozenset({'Monitor'})
0.282455042042595,frozenset({'Musical Instrument'})
0.225343399005708,frozenset({'Musician'})
0.432649604124471,frozenset({'Nature'})
0.340214816178727,frozenset({'Night Life'})
0.510960535199165,frozenset({'Outdoors'})
0.739355551463819,frozenset({'Overcoat'})
0.208371693365249,frozenset({'Pants'})
0.214118946786964,frozenset({'Pedestrian'})
0.721620327748113,frozenset({'People'})
,
0.386067636408273,frozenset({'Performer'})
1,frozenset({'Person'})
0.657882526238262,frozenset({'Photo'})
0.657882526238262,frozenset({'Photography'})
0.509585711655312,frozenset({'Plant'})
0.176046154790401,frozenset({'Plywood'})
0.51580924323329,frozenset({'Portrait'})
0.593707727244829,frozenset({'Pub'})
0.316936107530841,frozenset({'Restaurant'})
0.207041060578162,frozenset({'Road'})
0.338263057754864,frozenset({'Robe'})
0.853912723255386,frozenset({'Room'})
0.304221444792242,frozenset({'Screen'})
0.142119928803781,frozenset({'Shaking Hands'})
0.168182655127969,frozenset({'Shelf'})
0.230471981832689,frozenset({'Shirt'})
0.365727613085374,frozenset({'Sitting'})
0.177637022034002,frozenset({'Skin'})
0.268154422144479,frozenset({'Sleeve'})
0.146971091879948,frozenset({'Smile'})
,
0.160959921438655,frozenset({'Sport'})
0.160959921438655,frozenset({'Sports'})
0.593943411280918,frozenset({'Suit'})
0.456127171177806,frozenset({'Table'})
0.261091266187933,frozenset({'Table Lamp'})
0.259466028355736,frozenset({'Teen'})
0.212984717363285,frozenset({'Text'})
0.402266003805315,frozenset({'Tie'})
0.185954704474314,frozenset({'Town'})
0.472428650340637,frozenset({'Transportation'})
0.19340575707359,frozenset({'Tree'})
0.132982262321242,frozenset({'Tuxedo'})
0.270498987295157,frozenset({'Urban'})
0.467420364573743,frozenset({'Vehicle'})
0.146352421285214,frozenset({'Vigil'})
0.149963788129872,frozenset({'Water'})
0.121588412201559,frozenset({'Window'})
0.536922604799607,frozenset({'Woman'})
0.374013379979132,frozenset({'Wood'})
0.147277972135273,frozenset({'Worker'})
0.645150678205364,"frozenset({'Accessory', 'Accessories'})"
0.133205671147118,"frozenset({'Alcohol', 'Accessories'})"
0.127023875283864,"frozenset({'Accessories', 'Animal'})"
0.644519732400417,"frozenset({'Accessories', 'Apparel'})"
0.145883508255079,"frozenset({'Architecture', 'Accessories'})"
0.156761799545817,"frozenset({'Art', 'Accessories'})"
0.245781624010311,"frozenset({'Audience', 'Accessories'})"
0.179726262812251,"frozenset({'Automobile', 'Accessories'})"
0.369476462284417,"frozenset({'Bar Counter', 'Accessories'})"
0.184466948996502,"frozenset({'Accessories', 'Beverage'})"
0.153921315902535,"frozenset({'Blazer', 'Accessories'})"
0.333392254342356,"frozenset({'Building', 'Accessories'})"
0.179726262812251,"frozenset({'Car', 'Accessories'})"
0.205253789971153,"frozenset({'Chair', 'Accessories'})"
0.183521757810103,"frozenset({'Child', 'Accessories'})"
0.644519732400417,"frozenset({'Clothing', 'Accessories'})"
0.581101086356104,"frozenset({'Coat', 'Accessories'})"
0.27742711593936,"frozenset({'Court', 'Accessories'})"
0.484296323574541,"frozenset({'Accessories', 'Crowd'})"
0.168811145890873,"frozenset({'Accessories', 'Cushion'})"
0.261884244767692,"frozenset({'Dating', 'Accessories'})"
0.165229239550727,"frozenset({'Accessories', 'Display'})"
0.198384582335973,"frozenset({'Accessories', 'Door'})"
0.184466948996502,"frozenset({'Drink', 'Accessories'})"
0.301498803167004,"frozenset({'Accessories', 'Electronics'})"
0.157920579389922,"frozenset({'Evening Dress', 'Accessories'})"
0.629345117535138,"frozenset({'Face', 'Accessories'})"
0.272121770085313,"frozenset({'Fashion', 'Accessories'})"
0.506470263303259,"frozenset({'Accessories', 'Female'})"
0.323319216841588,"frozenset({'Finger', 'Accessories'})"
0.227366353648806,"frozenset({'Food', 'Accessories'})"
0.123594181550359,"frozenset({'Accessories', 'Food Court'})"
0.531442950960535,"frozenset({'Furniture', 'Accessories'})"
0.265986620020868,"frozenset({'Girl', 'Accessories'})"
0.151549745289388,"frozenset({'Glass', 'Accessories'})"
0.174666421162462,"frozenset({'Accessories', 'Glasses'})"
0.211546062726324,"frozenset({'Accessories', 'Gown'})"
0.44194930338182,"frozenset({'Hair', 'Accessories'})"
0.181992266617566,"frozenset({'Accessories', 'Hat'})"
0.443834775670533,"frozenset({'Accessories', 'Head'})"
0.270243662922728,"frozenset({'Accessories', 'Home Decor'})"
0.129294789173265,"frozenset({'Housing', 'Accessories'})"
0.645150678205364,"frozenset({'Human', 'Accessories'})"
0.607119621923525,"frozenset({'Indoors', 'Accessories'})"
0.296809672865648,"frozenset({'Interior Design', 'Accessories'})"
0.312912293623028,"frozenset({'Jacket', 'Accessories'})"
0.183521757810103,"frozenset({'Kid', 'Accessories'})"
0.212984717363285,"frozenset({'Lamp', 'Accessories'})"
0.298844902718959,"frozenset({'Leisure Activities', 'Accessories'})"
0.127011600073651,"frozenset({'Lighting', 'Accessories'})"
0.532636101393236,"frozenset({'Man', 'Accessories'})"
0.165229239550727,"frozenset({'Accessories', 'Monitor'})"
0.183440741422697,"frozenset({'Musical Instrument', 'Accessories'})"
0.146813969189222,"frozenset({'Musician', 'Accessories'})"
0.264847480513104,"frozenset({'Nature', 'Accessories'})"
0.217386607745658,"frozenset({'Night Life', 'Accessories'})"
0.317014668876204,"frozenset({'Outdoors', 'Accessories'})"
0.524163751304241,"frozenset({'Overcoat', 'Accessories'})"
0.129397900939054,"frozenset({'Pants', 'Accessories'})"
0.135186890075493,"frozenset({'Pedestrian', 'Accessories'})"
0.477449211317744,"frozenset({'People', 'Accessories'})"
0.261790953170073,"frozenset({'Performer', 'Accessories'})"
0.645150678205364,"frozenset({'Accessories', 'Person'})"
0.43891241637513,"frozenset({'Photo', 'Accessories'})"
0.43891241637513,"frozenset({'Photography', 'Accessories'})"
0.32814582949733,"frozenset({'Plant', 'Accessories'})"
0.349340207451053,"frozenset({'Accessories', 'Portrait'})"
0.390039894433192,"frozenset({'Pub', 'Accessories'})"
0.200707052108267,"frozenset({'Accessories', 'Restaurant'})"
0.124458356349352,"frozenset({'Road', 'Accessories'})"
0.227572577180384,"frozenset({'Accessories', 'Robe'})"
0.560959921438655,"frozenset({'Room', 'Accessories'})"
0.195657030626649,"frozenset({'Screen', 'Accessories'})"
0.178029828760818,"frozenset({'Shirt', 'Accessories'})"
0.248126189160989,"frozenset({'Sitting', 'Accessories'})"
0.171862763149819,"frozenset({'Sleeve', 'Accessories'})"
0.456303934204873,"frozenset({'Suit', 'Accessories'})"
0.296416866138833,"frozenset({'Accessories', 'Table'})"
0.167384766464126,"frozenset({'Table Lamp', 'Accessories'})"
0.172132817774504,"frozenset({'Teen', 'Accessories'})"
0.140516786349966,"frozenset({'Accessories', 'Text'})"
0.402266003805315,"frozenset({'Tie', 'Accessories'})"
0.298859632971215,"frozenset({'Accessories', 'Transportation'})"
0.120292150003069,"frozenset({'Tree', 'Accessories'})"
0.162950960535199,"frozenset({'Urban', 'Accessories'})"
0.295707358988523,"frozenset({'Vehicle', 'Accessories'})"
0.353052231019456,"frozenset({'Woman', 'Accessories'})"
0.231974467562757,"frozenset({'Wood', 'Accessories'})"
0.133208126189161,"frozenset({'Accessory', 'Alcohol'})"
0.127023875283864,"frozenset({'Accessory', 'Animal'})"
0.64452218744246,"frozenset({'Accessory', 'Apparel'})"
0.145885963297121,"frozenset({'Architecture', 'Accessory'})"
0.15676425458786,"frozenset({'Accessory', 'Art'})"
0.245784079052354,"frozenset({'Audience', 'Accessory'})"
0.179726262812251,"frozenset({'Accessory', 'Automobile'})"
0.369478917326459,"frozenset({'Accessory', 'Bar Counter'})"
0.184469404038544,"frozenset({'Accessory', 'Beverage'})"
0.153921315902535,"frozenset({'Accessory', 'Blazer'})"
0.333394709384398,"frozenset({'Accessory', 'Building'})"
0.179726262812251,"frozenset({'Accessory', 'Car'})"
0.205253789971153,"frozenset({'Accessory', 'Chair'})"
0.183521757810103,"frozenset({'Accessory', 'Child'})"
0.64452218744246,"frozenset({'Accessory', 'Clothing'})"
0.581101086356104,"frozenset({'Accessory', 'Coat'})"
0.27742711593936,"frozenset({'Accessory', 'Court'})"
0.484298778616584,"frozenset({'Accessory', 'Crowd'})"
0.168811145890873,"frozenset({'Accessory', 'Cushion'})"
0.261886699809734,"frozenset({'Dating', 'Accessory'})"
0.165229239550727,"frozenset({'Accessory', 'Display'})"
0.198387037378015,"frozenset({'Accessory', 'Door'})"
0.184469404038544,"frozenset({'Accessory', 'Drink'})"
0.301498803167004,"frozenset({'Accessory', 'Electronics'})"
0.157923034431965,"frozenset({'Evening Dress', 'Accessory'})"
0.62934757257718,"frozenset({'Face', 'Accessory'})"
0.272124225127355,"frozenset({'Fashion', 'Accessory'})"
0.506472718345302,"frozenset({'Accessory', 'Female'})"
0.323321671883631,"frozenset({'Finger', 'Accessory'})"
0.227368808690849,"frozenset({'Accessory', 'Food'})"
0.123596636592402,"frozenset({'Accessory', 'Food Court'})"
0.531445406002578,"frozenset({'Accessory', 'Furniture'})"
0.265986620020868,"frozenset({'Accessory', 'Girl'})"
0.151552200331431,"frozenset({'Glass', 'Accessory'})"
0.174668876204505,"frozenset({'Accessory', 'Glasses'})"
0.211548517768367,"frozenset({'Accessory', 'Gown'})"
0.441951758423863,"frozenset({'Accessory', 'Hair'})"
0.181992266617566,"frozenset({'Accessory', 'Hat'})"
0.443837230712576,"frozenset({'Accessory', 'Head'})"
0.27024611796477,"frozenset({'Accessory', 'Home Decor'})"
0.129297244215307,"frozenset({'Housing', 'Accessory'})"
0.645153133247407,"frozenset({'Human', 'Accessory'})"
0.607122076965568,"frozenset({'Accessory', 'Indoors'})"
0.29681212790769,"frozenset({'Accessory', 'Interior Design'})"
0.312912293623028,"frozenset({'Jacket', 'Accessory'})"
0.183521757810103,"frozenset({'Accessory', 'Kid'})"
0.212984717363285,"frozenset({'Accessory', 'Lamp'})"
0.298847357761002,"frozenset({'Accessory', 'Leisure Activities'})"
0.127011600073651,"frozenset({'Accessory', 'Lighting'})"
0.532638556435279,"frozenset({'Accessory', 'Man'})"
0.165229239550727,"frozenset({'Accessory', 'Monitor'})"
0.183440741422697,"frozenset({'Musical Instrument', 'Accessory'})"
0.146813969189222,"frozenset({'Accessory', 'Musician'})"
0.264847480513104,"frozenset({'Accessory', 'Nature'})"
0.217386607745658,"frozenset({'Accessory', 'Night Life'})"
0.317014668876204,"frozenset({'Accessory', 'Outdoors'})"
0.524163751304241,"frozenset({'Accessory', 'Overcoat'})"
0.129397900939054,"frozenset({'Accessory', 'Pants'})"
0.135186890075493,"frozenset({'Accessory', 'Pedestrian'})"
0.477449211317744,"frozenset({'Accessory', 'People'})"
0.261790953170073,"frozenset({'Accessory', 'Performer'})"
0.645153133247407,"frozenset({'Accessory', 'Person'})"
0.438914871417173,"frozenset({'Accessory', 'Photo'})"
0.438914871417173,"frozenset({'Accessory', 'Photography'})"
0.328148284539373,"frozenset({'Plant', 'Accessory'})"
0.349342662493095,"frozenset({'Accessory', 'Portrait'})"
0.390042349475235,"frozenset({'Accessory', 'Pub'})"
0.20070950715031,"frozenset({'Accessory', 'Restaurant'})"
0.124460811391395,"frozenset({'Accessory', 'Road'})"
0.227575032222427,"frozenset({'Accessory', 'Robe'})"
0.560962376480697,"frozenset({'Accessory', 'Room'})"
0.195657030626649,"frozenset({'Accessory', 'Screen'})"
0.178029828760818,"frozenset({'Accessory', 'Shirt'})"
0.248126189160989,"frozenset({'Accessory', 'Sitting'})"
0.171862763149819,"frozenset({'Sleeve', 'Accessory'})"
0.456303934204873,"frozenset({'Accessory', 'Suit'})"
0.296419321180875,"frozenset({'Accessory', 'Table'})"
0.167384766464126,"frozenset({'Accessory', 'Table Lamp'})"
0.172132817774504,"frozenset({'Teen', 'Accessory'})"
0.140516786349966,"frozenset({'Accessory', 'Text'})"
0.402266003805315,"frozenset({'Accessory', 'Tie'})"
0.298859632971215,"frozenset({'Accessory', 'Transportation'})"
0.120292150003069,"frozenset({'Accessory', 'Tree'})"
0.162953415577242,"frozenset({'Urban', 'Accessory'})"
0.295707358988523,"frozenset({'Accessory', 'Vehicle'})"
0.353054686061499,"frozenset({'Accessory', 'Woman'})"
0.2319769226048,"frozenset({'Accessory', 'Wood'})"
0.201978763886332,"frozenset({'Alcohol', 'Apparel'})"
0.177752409010004,"frozenset({'Alcohol', 'Bar Counter'})"
0.202302829435954,"frozenset({'Alcohol', 'Beverage'})"
0.201978763886332,"frozenset({'Clothing', 'Alcohol'})"
0.175177069907322,"frozenset({'Coat', 'Alcohol'})"
0.146502178849813,"frozenset({'Alcohol', 'Crowd'})"
0.202302829435954,"frozenset({'Drink', 'Alcohol'})"
0.194522801202971,"frozenset({'Face', 'Alcohol'})"
0.156170134413552,"frozenset({'Alcohol', 'Female'})"
