support,itemsets
0.7643268987963301,frozenset({'Accessories'})
0.7643304059930979,frozenset({'Accessory'})
0.27465559327740524,frozenset({'Alcohol'})
0.2829045200751943,frozenset({'Animal'})
0.9997720322100951,frozenset({'Apparel'})
0.3210031985634522,frozenset({'Architecture'})
0.3394756039392834,frozenset({'Art'})
0.4504292808843747,frozenset({'Audience'})
0.38208804466765806,frozenset({'Automobile'})
0.6842400606043602,frozenset({'Bar Counter'})
0.1817254005218709,frozenset({'Bed'})
0.37363920765410624,frozenset({'Beverage'})
0.25786313515333464,frozenset({'Blazer'})
0.23337588732078224,frozenset({'Blonde'})
0.21638702617771668,frozenset({'Blossom'})
0.6688329452035577,frozenset({'Building'})
0.17125291097331724,frozenset({'Cafeteria'})
0.38208804466765806,frozenset({'Car'})
0.4268293538340675,frozenset({'Chair'})
0.3667124940377655,frozenset({'Child'})
0.2519394798125754,frozenset({'City'})
0.9997720322100951,frozenset({'Clothing'})
0.18925885917903537,frozenset({'Club'})
0.932069105805112,frozenset({'Coat'})
0.1749424819730086,frozenset({'Computer'})
0.25528534552902554,frozenset({'Couch'})
0.4850347913919362,frozenset({'Court'})
0.8184710024971241,frozenset({'Crowd'})
0.2303842484778766,frozenset({'Crypt'})
0.34673550124856206,frozenset({'Cushion'})
0.49980008978423723,frozenset({'Dating'})
0.17204203024606493,frozenset({'Desk'})
0.2328322718217783,frozenset({'Dining Table'})
0.3458902668275301,frozenset({'Display'})
0.4122709800510648,frozenset({'Door'})
0.1709021912965405,frozenset({'Dress'})
0.37363920765410624,frozenset({'Drink'})
0.25722482534160096,frozenset({'Dungeon'})
0.589286215313824,frozenset({'Electronics'})
0.3114004938133049,frozenset({'Evening Dress'})
0.9905375831205634,frozenset({'Face'})
0.5174272607390366,frozenset({'Fashion'})
0.8725660054431694,frozenset({'Female'})
0.6185783227182178,frozenset({'Finger'})
0.17724320305266406,frozenset({'Flooring'})
0.21638702617771668,frozenset({'Flower'})
0.46467200695827837,frozenset({'Food'})
0.26751844785499845,frozenset({'Food Court'})
0.17205956622990376,frozenset({'Footwear'})
0.9125515557924861,frozenset({'Furniture'})
0.5124470413288067,frozenset({'Girl'})
0.3041160461266519,frozenset({'Glass'})
0.23622373109620942,frozenset({'Glasses'})
0.4075818579725597,frozenset({'Gown'})
0.21580132431749952,frozenset({'Grand Theft Auto'})
0.18484329844841615,frozenset({'Grass'})
0.7845879745237226,frozenset({'Hair'})
0.19621713756628603,frozenset({'Hand'})
0.36013650009820153,frozenset({'Hat'})
0.7754903061081339,frozenset({'Head'})
0.5337778120703685,frozenset({'Home Decor'})
0.2924440952835218,frozenset({'Housing'})
1.0,frozenset({'Human'})
0.9768735445133414,frozenset({'Indoors'})
0.5824717319940518,frozenset({'Interior Design'})
