support,itemsets
0.6430605377020081,frozenset({'Accessories'})
0.6430605377020081,frozenset({'Accessory'})
0.0870529936023076,frozenset({'Advertisement'})
0.31086128471580193,frozenset({'Alcohol'})
0.07118819570282164,frozenset({'Alley'})
0.07118819570282164,frozenset({'Alleyway'})
0.29048481934839687,frozenset({'Animal'})
0.9954513516511964,frozenset({'Apparel'})
0.05809696386967938,frozenset({'Appliance'})
0.25812654857438705,frozenset({'Architecture'})
0.25124810472985465,frozenset({'Arm'})
0.1049887208313302,frozenset({'Armored'})
0.10458193114159979,frozenset({'Army'})
0.24991679301800968,frozenset({'Art'})
0.07758588809585444,frozenset({'Asleep'})
0.3317924632964757,frozenset({'Audience'})
0.31448541104249106,frozenset({'Automobile'})
0.1244036832957361,frozenset({'Baby'})
0.06364409600236677,frozenset({'Banister'})
0.5356310787322954,frozenset({'Bar Counter'})
0.1267704596723494,frozenset({'Bartender'})
0.17466070041788395,frozenset({'Bed'})
0.08938278909803632,frozenset({'Bedroom'})
0.1030657150253319,frozenset({'Beer'})
0.4114492807218668,frozenset({'Beverage'})
0.05081173033541659,frozenset({'Bicycle'})
0.05081173033541659,frozenset({'Bike'})
0.06756406937613255,frozenset({'Bird'})
0.10358344735771606,frozenset({'Blanket'})
0.2215154764986502,frozenset({'Blazer'})
0.2304648496727192,frozenset({'Blonde'})
0.176694648866536,frozenset({'Blossom'})
0.05946525646240893,frozenset({'Boat'})
0.09958951222218113,frozenset({'Book'})
0.06523427388040383,frozenset({'Bookcase'})
0.08013756887689065,frozenset({'Bottle'})
0.11826485706889538,frozenset({'Boy'})
0.6230169002625643,frozenset({'Building'})
0.07717909840612404,frozenset({'Cabinet'})
0.14052734736141415,frozenset({'Cafe'})
0.14736881032506194,frozenset({'Cafeteria'})
0.14063829000406788,frozenset({'Call of Duty'})
0.07451647498243408,frozenset({'Candle'})
0.09611330941903036,frozenset({'Canine'})
0.10746643985059724,frozenset({'Cap'})
0.31448541104249106,frozenset({'Car'})
0.4000591694094153,frozenset({'Chair'})
0.3546466476831478,frozenset({'Child'})
0.05609999630191191,frozenset({'Cinema'})
0.20846122554639251,frozenset({'City'})
0.05510151251802818,frozenset({'Classroom'})
0.15114086017528938,frozenset({'Clinic'})
0.06357013424059761,frozenset({'Closet'})
0.9954513516511964,frozenset({'Clothing'})
0.09999630191191154,frozenset({'Club'})
0.05473170370918235,frozenset({'Coast'})
0.7260456344070115,frozenset({'Coat'})
0.12640065086350358,frozenset({'Computer'})
0.16094079360970379,frozenset({'Couch'})
0.12836063755038646,frozenset({'Countryside'})
0.5263488776302652,frozenset({'Court'})
0.7368810325061943,frozenset({'Crowd'})
0.06430975185828927,frozenset({'Crypt'})
0.0520690802854924,frozenset({'Cupboard'})
0.10410117969010022,frozenset({'Curtain'})
0.3246181724048667,frozenset({'Cushion'})
0.6166561887504161,frozenset({'Dating'})
0.09973743574571946,frozenset({'Desk'})
0.12603084205465775,frozenset({'Dining Room'})
0.21937058540734442,frozenset({'Dining Table'})
0.056802633038718985,frozenset({'Dinner'})
0.08697903184053844,frozenset({'Dish'})
0.3006545615916571,frozenset({'Display'})
0.06852557227913168,frozenset({'Doctor'})
0.08313302022854184,frozenset({'Dog'})
0.26837025257941644,frozenset({'Door'})
0.06634370030694131,frozenset({'Downtown'})
0.14004659590991458,frozenset({'Dress'})
0.055582263969527756,frozenset({'Dress Shirt'})
0.07721607928700862,frozenset({'Dressing Room'})
0.4114492807218668,frozenset({'Drink'})
0.05510151251802818,frozenset({'Drinking'})
0.11708146888058873,frozenset({'Driving'})
0.06297844014644428,frozenset({'Duel'})
0.08638733774638511,frozenset({'Dungeon'})
0.0749232646721645,frozenset({'Ear'})
0.4836359602085722,frozenset({'Electronics'})
0.06593691061721091,frozenset({'Elevator'})
0.15250915276801894,frozenset({'Evening Dress'})
0.9936762693687363,frozenset({'Face'})
0.05791205946525646,frozenset({'Family'})
0.30609075108169076,frozenset({'Fashion'})
0.8333271698531859,frozenset({'Female'})
0.17591805036795977,frozenset({'Field'})
0.21312081653784992,frozenset({'Final Fantasy'})
0.330793979512592,frozenset({'Finger'})
0.05990902703302393,frozenset({'Floor'})
0.176694648866536,frozenset({'Flower'})
0.05831884915498687,frozenset({'Flower Arrangement'})
0.408416848489331,frozenset({'Food'})
0.20099108760770681,frozenset({'Food Court'})
0.0949669021116083,frozenset({'Footwear'})
0.08328094375208017,frozenset({'Frown'})
0.10362042823860064,frozenset({'Funeral'})
0.8551458895750896,frozenset({'Furniture'})
0.523797196849229,frozenset({'Girl'})
0.2964017602899301,frozenset({'Glass'})
0.12126030842054658,frozenset({'Glasses'})
0.23534632594948413,frozenset({'Gown'})
0.4479494101549499,frozenset({'Grand Theft Auto'})
0.215154764986502,frozenset({'Grass'})
0.7057801116822603,frozenset({'Hair'})
0.09359860951887874,frozenset({'Haircut'})
0.2600865352612699,frozenset({'Halo'})
0.1931511408601753,frozenset({'Hand'})
0.06364409600236677,frozenset({'Handrail'})
0.35183610073591953,frozenset({'Hat'})
0.7611035094855959,frozenset({'Head'})
0.11408601752893754,frozenset({'Heel'})
0.10465589290336896,frozenset({'Helmet'})
0.05384416256795237,frozenset({'High Rise'})
0.3986169150549166,frozenset({'Home Decor'})
0.06453163714359676,frozenset({'Hospital'})
0.1107577382493251,frozenset({'House'})
0.33637809252616396,frozenset({'Housing'})
0.24167005658074775,frozenset({'Hug'})
1.0,frozenset({'Human'})
0.961724788284457,frozenset({'Indoors'})
0.5465774194741319,frozenset({'Interior Design'})
0.39994822676676156,frozenset({'Jacket'})
0.10654191782848267,frozenset({'Jar'})
0.14348581783218076,frozenset({'Jaw'})
0.144706186901372,frozenset({'Jewelry'})
0.07385081912651159,frozenset({'Judge'})
0.0734070485558966,frozenset({'Jury'})
0.3546466476831478,frozenset({'Kid'})
0.0717059280352058,frozenset({'Kiss'})
0.0717059280352058,frozenset({'Kissing'})
0.06342221071705928,frozenset({'LCD Screen'})
0.41732924078251543,frozenset({'Lamp'})
0.09529973003956954,frozenset({'Lampshade'})
0.11874560852039495,frozenset({'Land'})
0.06260863133759846,frozenset({'Landscape'})
0.05103361562072409,frozenset({'Lawn'})
0.08272623053881144,frozenset({'Lecture'})
0.05158832883399283,frozenset({'Legend of Zelda'})
0.35072667430938204,frozenset({'Leisure Activities'})
0.06889538108797752,frozenset({'Library'})
0.1035094855959469,frozenset({'Light'})
0.18937909100994785,frozenset({'Lighting'})
0.07148404274989831,frozenset({'Liquor'})
0.0731851632705891,frozenset({'Living Room'})
0.11582411893051292,frozenset({'Machine'})
0.1314300506638068,frozenset({'Make Out'})
0.17724936207980474,frozenset({'Mammal'})
0.8730816168041122,frozenset({'Man'})
0.2168189046263082,frozenset({'Meal'})
0.20180466698716765,frozenset({'Military'})
0.19444547169113569,frozenset({'Military Uniform'})
0.3006545615916571,frozenset({'Monitor'})
0.23020598350652713,frozenset({'Musical Instrument'})
0.19030361303206242,frozenset({'Musician'})
0.5523464368921268,frozenset({'Nature'})
0.08080322473281314,frozenset({'Necklace'})
0.1310232609740764,frozenset({'Necktie'})
0.05573018749306608,frozenset({'Neighborhood'})
0.10110572833844902,frozenset({'Newborn'})
0.0693391516585925,frozenset({'Night Club'})
0.2746570023297955,frozenset({'Night Life'})
0.08568470100957805,frozenset({'Ocean'})
0.07939795125919899,frozenset({'Officer'})
0.6199105062682593,frozenset({'Outdoors'})
0.6018268555156984,frozenset({'Overcoat'})
0.07802965866646944,frozenset({'Painting'})
0.0949669021116083,frozenset({'Pants'})
0.08808845826707593,frozenset({'Paper'})
0.0661587959025184,frozenset({'Parade'})
0.08220849820642728,frozenset({'Party'})
0.17909840612403388,frozenset({'Path'})
0.06948707518213083,frozenset({'Pc'})
0.22048001183388188,frozenset({'Pedestrian'})
0.07436855145889575,frozenset({'Pendant'})
0.9045893273177767,frozenset({'People'})
0.07296327798528161,frozenset({'People Kissing'})
0.4033504678081432,frozenset({'Performer'})
1.0,frozenset({'Person'})
0.10524758699752228,frozenset({'Pet'})
0.8512259162013239,frozenset({'Photo'})
0.8512259162013239,frozenset({'Photography'})
