support,itemsets
0.6446498496286749,frozenset({'Accessories'})
0.6458037193886945,frozenset({'Accessory'})
0.2030884428895845,frozenset({'Alcohol'})
0.21237832197876388,frozenset({'Animal'})
0.9914441784815565,frozenset({'Apparel'})
0.24192229791935188,frozenset({'Architecture'})
0.2622525010740809,frozenset({'Art'})
0.34917571963419874,frozenset({'Audience'})
0.2929528018167311,frozenset({'Automobile'})
0.5585858957834653,frozenset({'Bar Counter'})
0.13211317743816361,frozenset({'Bed'})
0.280193948321365,frozenset({'Beverage'})
0.19231080832259254,frozenset({'Blazer'})
0.17518197999140736,frozenset({'Blonde'})
0.16006137605106488,frozenset({'Blossom'})
0.5355772417602651,frozenset({'Building'})
0.12456637819922667,frozenset({'Cafeteria'})
0.2934094396366538,frozenset({'Car'})
0.32210642607254647,frozenset({'Chair'})
0.282157981955441,frozenset({'Child'})
0.186894985576628,frozenset({'City'})
0.9910145461241023,frozenset({'Clothing'})
0.140536426686307,frozenset({'Club'})
0.8435426256674645,frozenset({'Coat'})
0.12839624378567482,frozenset({'Computer'})
0.1884122015589517,frozenset({'Couch'})
0.3806984594611183,frozenset({'Court'})
0.6998907506291046,frozenset({'Crowd'})
0.18201681703799177,frozenset({'Crypt'})
0.25978027373718776,frozenset({'Cushion'})
0.3893475725771804,frozenset({'Dating'})
0.1264150248573007,frozenset({'Desk'})
0.17088320137482355,frozenset({'Dining Table'})
0.25973117289633585,frozenset({'Display'})
0.31342785245197324,frozenset({'Door'})
0.12750751856625545,frozenset({'Dress'})
0.28046400294605045,frozenset({'Drink'})
0.20470140551156937,frozenset({'Dungeon'})
0.46628122506597924,frozenset({'Electronics'})
0.23962928865156816,frozenset({'Evening Dress'})
0.9467943288528816,frozenset({'Face'})
0.4162401031117658,frozenset({'Fashion'})
0.777821150187197,frozenset({'Female'})
0.4980666543914565,frozenset({'Finger'})
0.13005339716442643,frozenset({'Flooring'})
0.15982078193089055,frozenset({'Flower'})
0.3562364205487019,frozenset({'Food'})
0.19771681090038667,frozenset({'Food Court'})
0.12575216350580004,frozenset({'Footwear'})
0.8127318480328976,frozenset({'Furniture'})
0.41066961271711777,frozenset({'Girl'})
0.22564536917694716,frozenset({'Glass'})
0.18007733382434174,frozenset({'Glasses'})
0.3206775916037562,frozenset({'Gown'})
0.16147302522555698,frozenset({'Grand Theft Auto'})
0.13727367581169828,frozenset({'Grass'})
0.6602099060946419,frozenset({'Hair'})
0.14168047627815628,frozenset({'Hand'})
0.2821751672497392,frozenset({'Hat'})
0.6485484563923157,frozenset({'Head'})
0.41615663168231753,frozenset({'Home Decor'})
0.2147670778862088,frozenset({'Housing'})
0.9991039096544528,frozenset({'Human'})
0.9140587982569202,frozenset({'Indoors'})
0.4618621493893083,frozenset({'Interior Design'})
0.45186276314981894,frozenset({'Jacket'})
0.1455152519486896,frozenset({'Jaw'})
0.28217025716565397,frozenset({'Kid'})
0.3326238261830234,frozenset({'Lamp'})
0.46633523599091636,frozenset({'Leisure Activities'})
0.18109372122997605,frozenset({'Light'})
0.2095820290922482,frozenset({'Lighting'})
0.16450745719020438,frozenset({'Machine'})
0.7884318418952925,frozenset({'Man'})
0.13501994721659608,frozenset({'Meal'})
0.1369152396734794,frozenset({'Military'})
0.1266482538513472,frozenset({'Military Uniform'})
0.2597188976861229,frozenset({'Monitor'})
0.28276437733996196,frozenset({'Musical Instrument'})
0.22619775363653102,frozenset({'Musician'})
0.4354999079359234,frozenset({'Nature'})
0.3437574418461916,frozenset({'Night Life'})
0.5119499171423311,frozenset({'Outdoors'})
0.7373006812741668,frozenset({'Overcoat'})
0.2103209967470693,frozenset({'Pants'})
0.21479162830663476,frozenset({'Pedestrian'})
0.7177978272877923,frozenset({'People'})
0.1282661265574173,frozenset({'People Laughing'})
0.3917977045356902,frozenset({'Performer'})
0.9991456453691769,frozenset({'Person'})
0.6541606825016878,frozenset({'Photo'})
0.6533308782912908,frozenset({'Photography'})
0.5098975019947216,frozenset({'Plant'})
0.18105689559933713,frozenset({'Plywood'})
0.5166095869391764,frozenset({'Portrait'})
0.5911692137727859,frozenset({'Pub'})
0.31607438777389063,frozenset({'Restaurant'})
0.20751733873442582,frozenset({'Road'})
0.34560608850426566,frozenset({'Robe'})
0.837932854600135,frozenset({'Room'})
0.3051224452218744,frozenset({'Screen'})
0.143185417050267,frozenset({'Shaking Hands'})
0.17351009636040018,frozenset({'Shelf'})
0.23111765788989136,frozenset({'Shirt'})
0.3666089731786657,frozenset({'Sitting'})
0.17818695145154362,frozenset({'Skin'})
0.27046216166451853,frozenset({'Sleeve'})
0.14813478180813847,frozenset({'Smile'})
0.12366046768550912,frozenset({'Speech'})
0.16539372736758118,frozenset({'Sport'})
0.16556558031056282,frozenset({'Sports'})
0.602042594979439,frozenset({'Suit'})
0.45497821150187195,frozenset({'Table'})
0.26291781746762416,frozenset({'Table Lamp'})
0.2640741422696864,frozenset({'Teen'})
0.2132105812312036,frozenset({'Text'})
0.41170318541705025,frozenset({'Tie'})
0.18647026330325908,frozenset({'Town'})
0.4751071012091082,frozenset({'Transportation'})
0.19542871171668816,frozenset({'Tree'})
0.13531946234579267,frozenset({'Tuxedo'})
0.2709408948628245,frozenset({'Urban'})
0.4700767200638311,frozenset({'Vehicle'})
0.14760449272693796,frozenset({'Vigil'})
0.15410298901368685,frozenset({'Water'})
0.12191493279322409,frozenset({'Window'})
0.5447026330325907,frozenset({'Woman'})
0.37962315104646166,frozenset({'Wood'})
0.14788927760387896,frozenset({'Worker'})
0.42192598048241575,"frozenset({'Accessory', 'Accessories'})"
0.13367703921929663,"frozenset({'Alcohol', 'Accessories'})"
0.13949794390228934,"frozenset({'Animal', 'Accessories'})"
0.6398232369729332,"frozenset({'Apparel', 'Accessories'})"
0.15990425336033878,"frozenset({'Architecture', 'Accessories'})"
0.17250107408089363,"frozenset({'Art', 'Accessories'})"
0.2296716381268029,"frozenset({'Audience', 'Accessories'})"
0.19206530411833303,"frozenset({'Automobile', 'Accessories'})"
0.3650843920702142,"frozenset({'Bar Counter', 'Accessories'})"
0.1840078561345363,"frozenset({'Beverage', 'Accessories'})"
0.12629472779721354,"frozenset({'Blazer', 'Accessories'})"
0.351174123856871,"frozenset({'Building', 'Accessories'})"
0.19253421714846866,"frozenset({'Car', 'Accessories'})"
0.2108046400294605,"frozenset({'Chair', 'Accessories'})"
0.18605781624010312,"frozenset({'Child', 'Accessories'})"
0.12351071012091082,"frozenset({'City', 'Accessories'})"
0.6395433621800773,"frozenset({'Clothing', 'Accessories'})"
0.5483213650033757,"frozenset({'Coat', 'Accessories'})"
0.12426195298594489,"frozenset({'Couch', 'Accessories'})"
0.25045602405941203,"frozenset({'Court', 'Accessories'})"
0.4570649972380777,"frozenset({'Crowd', 'Accessories'})"
0.12030688025532438,"frozenset({'Crypt', 'Accessories'})"
0.1710059534769533,"frozenset({'Cushion', 'Accessories'})"
0.25652979807279197,"frozenset({'Dating', 'Accessories'})"
0.17096912784631438,"frozenset({'Display', 'Accessories'})"
0.20574234333762967,"frozenset({'Door', 'Accessories'})"
0.18437856748296816,"frozenset({'Drink', 'Accessories'})"
0.1346173203216105,"frozenset({'Dungeon', 'Accessories'})"
0.30541214018290064,"frozenset({'Accessories', 'Electronics'})"
0.15832811636899283,"frozenset({'Accessories', 'Evening Dress'})"
0.6127490333271958,"frozenset({'Face', 'Accessories'})"
0.2734376726201436,"frozenset({'Fashion', 'Accessories'})"
0.5060553611980605,"frozenset({'Female', 'Accessories'})"
0.3262701773767876,"frozenset({'Finger', 'Accessories'})"
0.23408089363530352,"frozenset({'Food', 'Accessories'})"
0.13055177069907323,"frozenset({'Food Court', 'Accessories'})"
0.5283275026084822,"frozenset({'Furniture', 'Accessories'})"
0.26955134106671574,"frozenset({'Girl', 'Accessories'})"
0.1481716074387774,"frozenset({'Glass', 'Accessories'})"
0.21076535935677898,"frozenset({'Accessories', 'Gown'})"
0.4315816608359418,"frozenset({'Hair', 'Accessories'})"
0.18517154606272632,"frozenset({'Hat', 'Accessories'})"
0.42349720738967656,"frozenset({'Head', 'Accessories'})"
0.2726545142085558,"frozenset({'Accessories', 'Home Decor'})"
0.14079420610077947,"frozenset({'Housing', 'Accessories'})"
0.6441195605474743,"frozenset({'Human', 'Accessories'})"
0.5923967347940834,"frozenset({'Indoors', 'Accessories'})"
0.30267967838949245,"frozenset({'Interior Design', 'Accessories'})"
0.2964610568955993,"frozenset({'Jacket', 'Accessories'})"
0.18594488430614375,"frozenset({'Kid', 'Accessories'})"
0.2189308291904499,"frozenset({'Lamp', 'Accessories'})"
0.3053139385011968,"frozenset({'Leisure Activities', 'Accessories'})"
0.13807647455962682,"frozenset({'Lighting', 'Accessories'})"
0.5137985638004051,"frozenset({'Man', 'Accessories'})"
0.17103295893942183,"frozenset({'Monitor', 'Accessories'})"
0.18597925489474007,"frozenset({'Musical Instrument', 'Accessories'})"
