support,itemsets
0.5887190818142761,frozenset({'Accessories'})
0.5887190818142761,frozenset({'Accessory'})
0.19487632725710427,frozenset({'Alcohol'})
0.19679862517645616,frozenset({'Animal'})
0.992968759590008,frozenset({'Apparel'})
0.22612410237525318,frozenset({'Architecture'})
0.23090161419014302,frozenset({'Art'})
0.32064567605720246,frozenset({'Audience'})
0.2680881360093292,frozenset({'Automobile'})
0.522000859264715,frozenset({'Bar Counter'})
0.12710980175535505,frozenset({'Bed'})
0.2703786902350703,frozenset({'Beverage'})
0.17864113422942368,frozenset({'Blazer'})
0.15808261216473332,frozenset({'Blonde'})
0.14936966795556375,frozenset({'Blossom'})
0.5217970907751796,frozenset({'Building'})
0.2680881360093292,frozenset({'Car'})
0.31464064322101515,frozenset({'Chair'})
0.2534904560240594,frozenset({'Child'})
0.17786534094396367,frozenset({'City'})
0.992968759590008,frozenset({'Clothing'})
0.12808199840422269,frozenset({'Club'})
0.8020131344749278,frozenset({'Coat'})
0.12153685631866445,frozenset({'Computer'})
0.18011170441293808,frozenset({'Couch'})
0.3449677775731909,frozenset({'Court'})
0.6537629656907874,frozenset({'Crowd'})
0.1419505309028417,frozenset({'Crypt'})
0.2486147425274658,frozenset({'Cushion'})
0.3642472227336893,frozenset({'Dating'})
0.16362609709691278,frozenset({'Dining Table'})
0.24709752654514208,frozenset({'Display'})
0.3002000859264715,frozenset({'Door'})
0.2703786902350703,frozenset({'Drink'})
0.15922420671454,frozenset({'Dungeon'})
0.4405008285766894,frozenset({'Electronics'})
0.21038482784017676,frozenset({'Evening Dress'})
0.9426796783894924,frozenset({'Face'})
0.35914810041121953,frozenset({'Fashion'})
0.6905640459092862,frozenset({'Female'})
0.4601067943288529,frozenset({'Finger'})
0.12240103111765789,frozenset({'Flooring'})
0.14936966795556375,frozenset({'Flower'})
0.3389259191063647,frozenset({'Food'})
0.1890431473638986,frozenset({'Food Court'})
0.7795274044068005,frozenset({'Furniture'})
0.3575719634198736,frozenset({'Girl'})
0.21683913337015898,frozenset({'Glass'})
0.15651629534155773,frozenset({'Glasses'})
0.2781366230896704,frozenset({'Gown'})
0.14594488430614375,frozenset({'Grand Theft Auto'})
0.12594611182716503,frozenset({'Grass'})
0.6232443380592892,frozenset({'Hair'})
0.13958387037378014,frozenset({'Hand'})
0.241460750015344,frozenset({'Hat'})
0.6164487816853864,frozenset({'Head'})
0.39606456760572023,frozenset({'Home Decor'})
0.2112342723869146,frozenset({'Housing'})
0.9999852697477444,frozenset({'Human'})
0.9037721720984472,frozenset({'Indoors'})
0.43603510710120913,frozenset({'Interior Design'})
0.4225986620020868,frozenset({'Jacket'})
0.13318848585282023,frozenset({'Jaw'})
0.2534904560240594,frozenset({'Kid'})
0.3118787209230958,frozenset({'Lamp'})
0.43038851040324066,frozenset({'Leisure Activities'})
0.17084637574418463,frozenset({'Light'})
0.19914564536917695,frozenset({'Lighting'})
0.15780764745596268,frozenset({'Machine'})
0.7425962069600441,frozenset({'Man'})
