support,itemsets
0.15162124334665128,frozenset({'Accessories'})
0.1516220381322221,frozenset({'Accessory'})
0.03622394196157848,frozenset({'Alcohol'})
0.030541225130166008,frozenset({'Animal'})
0.6478805850575544,frozenset({'Apparel'})
0.04205925762258971,frozenset({'Architecture'})
0.04567632675542302,frozenset({'Art'})
0.06965739178398364,frozenset({'Audience'})
0.04622075487143946,frozenset({'Automobile'})
0.12815917329584064,frozenset({'Bar Counter'})
0.05005162132282521,frozenset({'Beverage'})
0.033652810639953394,frozenset({'Blazer'})
0.10426950860792512,frozenset({'Building'})
0.04622075487143946,frozenset({'Car'})
0.05810756786872686,frozenset({'Chair'})
0.049342672593647594,frozenset({'Child'})
0.6478805850575544,frozenset({'Clothing'})
0.26994653477465047,frozenset({'Coat'})
0.03255998048006638,frozenset({'Couch'})
0.07147586117003563,frozenset({'Court'})
0.1867126158698014,frozenset({'Crowd'})
0.033776797189002394,frozenset({'Crypt'})
0.04204574626788565,frozenset({'Cushion'})
0.07245583177886522,frozenset({'Dating'})
0.04409629304061911,frozenset({'Display'})
0.05340164250386067,frozenset({'Door'})
0.05005162132282521,frozenset({'Drink'})
0.03424731024693193,frozenset({'Dungeon'})
0.08849460459815243,frozenset({'Electronics'})
0.04440943855552491,frozenset({'Evening Dress'})
0.38344350385987613,frozenset({'Face'})
0.09081299410825457,frozenset({'Fashion'})
0.21525336571819606,frozenset({'Female'})
0.10281425622774104,frozenset({'Finger'})
0.06636300559290606,frozenset({'Food'})
0.036453634991547454,frozenset({'Food Court'})
0.2365655407999199,frozenset({'Furniture'})
0.08042196755526343,frozenset({'Girl'})
0.04178267224394194,frozenset({'Glass'})
0.06332454035563476,frozenset({'Gown'})
0.14654892183363388,frozenset({'Hair'})
0.04619055301974804,frozenset({'Hat'})
0.1368890980058035,frozenset({'Head'})
0.0848584606116193,frozenset({'Home Decor'})
0.03251467770252925,frozenset({'Housing'})
0.9267589200771578,frozenset({'Human'})
0.3350267564562419,frozenset({'Indoors'})
0.08417653459184979,frozenset({'Interior Design'})
0.08950080313081932,frozenset({'Jacket'})
0.049342672593647594,frozenset({'Kid'})
0.06517162202223652,frozenset({'Lamp'})
0.09168169473716839,frozenset({'Leisure Activities'})
0.03425366853149855,frozenset({'Lighting'})
0.19751216220619758,frozenset({'Man'})
0.04409629304061911,frozenset({'Monitor'})
0.04711727299533222,frozenset({'Musical Instrument'})
0.03611426155280436,frozenset({'Musician'})
0.07812583204114446,frozenset({'Nature'})
0.06317591545389012,frozenset({'Night Life'})
0.09933309542751913,frozenset({'Outdoors'})
0.2015544416194233,frozenset({'Overcoat'})
0.035210590358774156,frozenset({'Pants'})
0.030918748276308795,frozenset({'Pedestrian'})
0.17948880981655554,frozenset({'People'})
0.07143691667706512,frozenset({'Performer'})
0.9267589200771578,frozenset({'Person'})
0.13493869421499427,frozenset({'Photo'})
0.13493869421499427,frozenset({'Photography'})
0.09630973111609353,frozenset({'Plant'})
0.0905864802205689,frozenset({'Portrait'})
0.13888877850200404,frozenset({'Pub'})
0.05786436348405382,frozenset({'Restaurant'})
0.06951274081009313,frozenset({'Robe'})
0.2518778796074713,frozenset({'Room'})
0.05257744986691316,frozenset({'Screen'})
0.04274118364235921,frozenset({'Shirt'})
0.07410421705276025,frozenset({'Sitting'})
0.05525349288388739,frozenset({'Sleeve'})
0.030088197354794663,frozenset({'Sport'})
0.030088197354794663,frozenset({'Sports'})
0.14062856411654417,frozenset({'Suit'})
0.09018590829287212,frozenset({'Table'})
0.0492806793191231,frozenset({'Table Lamp'})
0.04596244956092071,frozenset({'Teen'})
0.030759791162143408,frozenset({'Text'})
0.0872857357449247,frozenset({'Tie'})
0.08817112687082589,frozenset({'Transportation'})
0.03977186474974984,frozenset({'Urban'})
0.0870377626468267,frozenset({'Vehicle'})
0.11321243585086961,frozenset({'Woman'})
0.06582811490373955,frozenset({'Wood'})
