support,itemsets
0.6879682107684969,frozenset({'Accessories'})
0.6879682107684969,frozenset({'Accessory'})
0.9982709519934907,frozenset({'Apparel'})
0.40691549058668386,frozenset({'Audience'})
0.6271744619960158,frozenset({'Bar Counter'})
0.6393093628124912,frozenset({'Building'})
0.41004391010353247,frozenset({'Chair'})
0.9982709519934907,frozenset({'Clothing'})
0.8732604304031873,frozenset({'Coat'})
0.4334544485283802,frozenset({'Court'})
0.7528829157431048,frozenset({'Crowd'})
0.4599057265508824,frozenset({'Dating'})
0.5441731432900312,frozenset({'Electronics'})
0.9764807384753514,frozenset({'Face'})
0.440847619314834,frozenset({'Fashion'})
0.7771912965405011,frozenset({'Female'})
0.5627683005527342,frozenset({'Finger'})
0.43277405235543337,frozenset({'Food'})
0.8620724727140091,frozenset({'Furniture'})
0.4421137173479981,frozenset({'Girl'})
0.7285008838135855,frozenset({'Hair'})
0.7262387418983755,frozenset({'Head'})
0.4982919951740972,frozenset({'Home Decor'})
0.9999964928032322,frozenset({'Human'})
0.9523617463034146,frozenset({'Indoors'})
0.5445729637215566,frozenset({'Interior Design'})
0.5244556830616425,frozenset({'Jacket'})
0.5330693583232794,frozenset({'Leisure Activities'})
0.8278246962767599,frozenset({'Man'})
0.5056816587637832,frozenset({'Nature'})
0.584881176173508,frozenset({'Outdoors'})
0.7606899357481552,frozenset({'Overcoat'})
0.7645829241603771,frozenset({'People'})
0.4419874582643585,frozenset({'Performer'})
0.9999964928032322,frozenset({'Person'})
0.7201958418675122,frozenset({'Photo'})
0.7201958418675122,frozenset({'Photography'})
0.57703908420078,frozenset({'Plant'})
0.5829697539350748,frozenset({'Portrait'})
0.6596230464914004,frozenset({'Pub'})
0.8917573861563929,frozenset({'Room'})
0.436670547964423,frozenset({'Sitting'})
0.6151237339019668,frozenset({'Suit'})
0.5326309587273085,frozenset({'Table'})
0.4345802586908336,frozenset({'Tie'})
0.5395226003759714,frozenset({'Transportation'})
0.5344897730142252,frozenset({'Vehicle'})
0.5665981594231363,frozenset({'Woman'})
0.43069428467214727,frozenset({'Wood'})
0.6879682107684969,"frozenset({'Accessory', 'Accessories'})"
0.6872036418731237,"frozenset({'Apparel', 'Accessories'})"
0.4428116495047838,"frozenset({'Bar Counter', 'Accessories'})"
0.4265768356667882,"frozenset({'Building', 'Accessories'})"
0.6872036418731237,"frozenset({'Clothing', 'Accessories'})"
0.6248386689486827,"frozenset({'Coat', 'Accessories'})"
0.5595977946746724,"frozenset({'Crowd', 'Accessories'})"
0.6778078617322746,"frozenset({'Face', 'Accessories'})"
0.5401012878426531,"frozenset({'Female', 'Accessories'})"
0.5960305546982408,"frozenset({'Furniture', 'Accessories'})"
0.516154148312337,"frozenset({'Hair', 'Accessories'})"
0.5231019051092842,"frozenset({'Head', 'Accessories'})"
0.6879682107684969,"frozenset({'Accessories', 'Human'})"
0.661709828568222,"frozenset({'Indoors', 'Accessories'})"
0.5833345023989226,"frozenset({'Man', 'Accessories'})"
0.5649988776970343,"frozenset({'Overcoat', 'Accessories'})"
0.5442643304059931,"frozenset({'People', 'Accessories'})"
0.6879682107684969,"frozenset({'Person', 'Accessories'})"
0.5096728486855027,"frozenset({'Photo', 'Accessories'})"
0.5096728486855027,"frozenset({'Photography', 'Accessories'})"
0.40048329171459834,"frozenset({'Plant', 'Accessories'})"
0.420502370865015,"frozenset({'Portrait', 'Accessories'})"
0.463244577873797,"frozenset({'Accessories', 'Pub'})"
0.6243406470076597,"frozenset({'Room', 'Accessories'})"
0.4959562021267641,"frozenset({'Suit', 'Accessories'})"
0.4345802586908336,"frozenset({'Tie', 'Accessories'})"
0.4000554137089307,"frozenset({'Woman', 'Accessories'})"
0.6872036418731237,"frozenset({'Accessory', 'Apparel'})"
0.4428116495047838,"frozenset({'Accessory', 'Bar Counter'})"
0.4265768356667882,"frozenset({'Accessory', 'Building'})"
0.6872036418731237,"frozenset({'Clothing', 'Accessory'})"
0.6248386689486827,"frozenset({'Accessory', 'Coat'})"
0.5595977946746724,"frozenset({'Accessory', 'Crowd'})"
0.6778078617322746,"frozenset({'Accessory', 'Face'})"
0.5401012878426531,"frozenset({'Accessory', 'Female'})"
0.5960305546982408,"frozenset({'Accessory', 'Furniture'})"
0.516154148312337,"frozenset({'Accessory', 'Hair'})"
0.5231019051092842,"frozenset({'Head', 'Accessory'})"
0.6879682107684969,"frozenset({'Accessory', 'Human'})"
0.661709828568222,"frozenset({'Accessory', 'Indoors'})"
0.5833345023989226,"frozenset({'Accessory', 'Man'})"
0.5649988776970343,"frozenset({'Accessory', 'Overcoat'})"
0.5442643304059931,"frozenset({'Accessory', 'People'})"
0.6879682107684969,"frozenset({'Accessory', 'Person'})"
0.5096728486855027,"frozenset({'Accessory', 'Photo'})"
0.5096728486855027,"frozenset({'Photography', 'Accessory'})"
0.40048329171459834,"frozenset({'Accessory', 'Plant'})"
0.420502370865015,"frozenset({'Accessory', 'Portrait'})"
0.463244577873797,"frozenset({'Accessory', 'Pub'})"
0.6243406470076597,"frozenset({'Accessory', 'Room'})"
0.4959562021267641,"frozenset({'Suit', 'Accessory'})"
0.4345802586908336,"frozenset({'Accessory', 'Tie'})"
0.4000554137089307,"frozenset({'Accessory', 'Woman'})"
0.40666647961617236,"frozenset({'Audience', 'Apparel'})"
0.6265712241519599,"frozenset({'Apparel', 'Bar Counter'})"
0.6384921859656014,"frozenset({'Apparel', 'Building'})"
0.4096475968687747,"frozenset({'Apparel', 'Chair'})"
0.9982709519934907,"frozenset({'Clothing', 'Apparel'})"
0.8732604304031873,"frozenset({'Apparel', 'Coat'})"
0.4328792682584664,"frozenset({'Apparel', 'Court'})"
0.7519710445834853,"frozenset({'Apparel', 'Crowd'})"
0.45941822620016276,"frozenset({'Apparel', 'Dating'})"
0.5431560562273786,"frozenset({'Apparel', 'Electronics'})"
0.9748288487977329,"frozenset({'Apparel', 'Face'})"
0.4408441121180663,"frozenset({'Apparel', 'Fashion'})"
0.7763215117420947,"frozenset({'Apparel', 'Female'})"
0.5618073286383659,"frozenset({'Apparel', 'Finger'})"
0.4324373614657277,"frozenset({'Apparel', 'Food'})"
0.8610518784545889,"frozenset({'Apparel', 'Furniture'})"
0.44175247608091806,"frozenset({'Apparel', 'Girl'})"
0.7276205774248758,"frozenset({'Apparel', 'Hair'})"
0.7248288487977329,"frozenset({'Head', 'Apparel'})"
0.4978571027748941,"frozenset({'Home Decor', 'Apparel'})"
0.9982674447967229,"frozenset({'Apparel', 'Human'})"
0.9508361157094357,"frozenset({'Apparel', 'Indoors'})"
0.5435383406750652,"frozenset({'Apparel', 'Interior Design'})"
