support,itemsets
0.5055321181246517,frozenset({'Accessories'})
0.5055321181246517,frozenset({'Accessory'})
0.3432301201942211,frozenset({'Alcohol'})
0.17861975642760486,frozenset({'Animal'})
0.991403327230757,frozenset({'Apparel'})
0.19231075380084375,frozenset({'Architecture'})
0.11494069887765661,frozenset({'Arm'})
0.2811430390830216,frozenset({'Art'})
0.24213961633367825,frozenset({'Audience'})
0.13372602085489135,frozenset({'Automobile'})
0.10483164849160233,frozenset({'Banister'})
0.6625009949852743,frozenset({'Bar Counter'})
0.18960439385497094,frozenset({'Bartender'})
0.17766457056435564,frozenset({'Bed'})
0.1264029292366473,frozenset({'Beer'})
0.4645387248268726,frozenset({'Beverage'})
0.136591578444639,frozenset({'Blazer'})
0.31958927007880283,frozenset({'Blonde'})
0.22168271909575737,frozenset({'Blossom'})
0.11836344822096632,frozenset({'Book'})
0.5388840245164371,frozenset({'Building'})
0.17718697763273103,frozenset({'Cafe'})
0.14319828066544615,frozenset({'Cafeteria'})
0.12918888800445755,frozenset({'Cap'})
0.13372602085489135,frozenset({'Car'})
0.23203056594762397,frozenset({'Chair'})
0.41622223991084933,frozenset({'Child'})
0.18888800445753404,frozenset({'City'})
0.991403327230757,frozenset({'Clothing'})
0.10308047440897875,frozenset({'Club'})
0.7095438987502984,frozenset({'Coat'})
0.1841120751412879,frozenset({'Couch'})
0.13523839847170263,frozenset({'Countryside'})
0.3663933773780148,frozenset({'Court'})
0.5341876940221285,frozenset({'Crowd'})
0.11629387885059302,frozenset({'Curtain'})
0.2961872164291968,frozenset({'Cushion'})
0.588951683515084,frozenset({'Dating'})
0.18944519621109607,frozenset({'Dining Table'})
0.2099816922709544,frozenset({'Display'})
0.2309957812624373,frozenset({'Door'})
0.4645387248268726,frozenset({'Drink'})
0.38255193823131417,frozenset({'Electronics'})
0.11549789063121865,frozenset({'Evening Dress'})
0.9931545013133806,frozenset({'Face'})
0.2533630502268566,frozenset({'Fashion'})
0.9160232428560058,frozenset({'Female'})
0.11143835071240946,frozenset({'Field'})
0.1250497492637109,frozenset({'Final Fantasy'})
0.38565629228687415,frozenset({'Finger'})
0.22168271909575737,frozenset({'Flower'})
0.5258298177186977,frozenset({'Food'})
0.26554166998328427,frozenset({'Food Court'})
0.8368224150282576,frozenset({'Furniture'})
0.6076574066703813,frozenset({'Girl'})
0.3152113348722439,frozenset({'Glass'})
0.11502029769959404,frozenset({'Glasses'})
0.17089867069967365,frozenset({'Gown'})
0.2041709782695216,frozenset({'Grand Theft Auto'})
0.13507920082782776,frozenset({'Grass'})
0.7697206081349997,frozenset({'Hair'})
0.1318156491283929,frozenset({'Hand'})
0.10483164849160233,frozenset({'Handrail'})
0.2629149088593489,frozenset({'Hat'})
0.7081907187773621,frozenset({'Head'})
0.10554803788903924,frozenset({'Heel'})
0.4083419565390432,frozenset({'Home Decor'})
0.2620393218180371,frozenset({'Housing'})
0.19461911963702938,frozenset({'Hug'})
1.0,frozenset({'Human'})
0.952081509193664,frozenset({'Indoors'})
0.3702141208310117,frozenset({'Interior Design'})
0.3745920560375706,frozenset({'Jacket'})
0.15919764387487065,frozenset({'Jewelry'})
0.41622223991084933,frozenset({'Kid'})
0.40229244607179815,frozenset({'Lamp'})
0.21849876621825998,frozenset({'Leisure Activities'})
0.19406192788346732,frozenset({'Lighting'})
0.132930032635517,frozenset({'Make Out'})
0.7060415505850514,frozenset({'Man'})
0.23211016476956142,frozenset({'Meal'})
0.2099816922709544,frozenset({'Monitor'})
0.11342832126084534,frozenset({'Musical Instrument'})
0.41876940221284725,frozenset({'Nature'})
0.1022844861896044,frozenset({'Necktie'})
0.27350155217702776,frozenset({'Night Life'})
0.5069648969195256,frozenset({'Outdoors'})
0.5319589270078803,frozenset({'Overcoat'})
0.1548197086683117,frozenset({'Path'})
0.13420361378651596,frozenset({'Pedestrian'})
0.10339886969672848,frozenset({'Pendant'})
0.6948977155138104,frozenset({'People'})
0.26506407705165963,frozenset({'Performer'})
1.0,frozenset({'Person'})
0.8557669346493672,frozenset({'Photo'})
0.8557669346493672,frozenset({'Photography'})
0.22574225901456657,frozenset({'Pillow'})
0.6886890074026905,frozenset({'Plant'})
0.7641486905993792,frozenset({'Portrait'})
0.16150600971105628,frozenset({'Pottery'})
0.6915545649924381,frozenset({'Pub'})
0.43365438191514766,frozenset({'Restaurant'})
0.19493751492477912,frozenset({'Road'})
0.2029769959404601,frozenset({'Robe'})
0.865239194459922,frozenset({'Room'})
0.24094563400461674,frozenset({'Screen'})
0.14001432778794873,frozenset({'Selfie'})
0.21125527342195335,frozenset({'Shelf'})
0.16771471782217623,frozenset({'Shirt'})
0.21236965692907744,frozenset({'Shop'})
0.18220170341478947,frozenset({'Sitting'})
0.19772347369258936,frozenset({'Skin'})
0.30581867388362655,frozenset({'Smile'})
0.1331688291013293,frozenset({'Street'})
0.38135795590225263,frozenset({'Suit'})
0.42553530207752926,frozenset({'Table'})
0.30653506328106345,frozenset({'Table Lamp'})
0.41455066465016316,frozenset({'Teen'})
0.2699196051898432,frozenset({'Text'})
0.2526466608294197,frozenset({'Tie'})
0.18888800445753404,frozenset({'Town'})
0.2674520417097827,frozenset({'Transportation'})
0.24349279630661466,frozenset({'Tree'})
0.23266735652312345,frozenset({'Urban'})
0.1748786117965454,frozenset({'Vegetation'})
0.2624373159277243,frozenset({'Vehicle'})
0.11788585528934171,frozenset({'Water'})
0.15251134283212608,frozenset({'Wine'})
0.12600493512696012,frozenset({'Wine Glass'})
0.7296824007004696,frozenset({'Woman'})
0.21348404043620153,frozenset({'Wood'})
0.2672928440659078,frozenset({'Worker'})
0.5055321181246517,"frozenset({'Accessories', 'Accessory'})"
0.17511740826235772,"frozenset({'Alcohol', 'Accessories'})"
0.5033033511104036,"frozenset({'Accessories', 'Apparel'})"
0.11119955424659715,"frozenset({'Accessories', 'Art'})"
0.15426251691474965,"frozenset({'Accessories', 'Audience'})"
0.3102762079121229,"frozenset({'Accessories', 'Bar Counter'})"
0.2327469553450609,"frozenset({'Accessories', 'Beverage'})"
0.10706041550585052,"frozenset({'Accessories', 'Blazer'})"
0.20632014646183236,"frozenset({'Accessories', 'Blonde'})"
0.11000557191753563,"frozenset({'Blossom', 'Accessories'})"
0.2426968080872403,"frozenset({'Accessories', 'Building'})"
0.10761760725941256,"frozenset({'Accessories', 'Chair'})"
0.25272625965135714,"frozenset({'Child', 'Accessories'})"
0.5033033511104036,"frozenset({'Clothing', 'Accessories'})"
0.4124014964578524,"frozenset({'Accessories', 'Coat'})"
0.24651755154023722,"frozenset({'Accessories', 'Court'})"
0.3179176948181167,"frozenset({'Accessories', 'Crowd'})"
0.15020297699594046,"frozenset({'Accessories', 'Cushion'})"
0.3156889278038685,"frozenset({'Dating', 'Accessories'})"
0.10013531799729364,"frozenset({'Accessories', 'Display'})"
0.11955743055002786,"frozenset({'Accessories', 'Door'})"
0.2327469553450609,"frozenset({'Drink', 'Accessories'})"
0.18626124333359867,"frozenset({'Accessories', 'Electronics'})"
0.5044177346175277,"frozenset({'Accessories', 'Face'})"
0.153227732229563,"frozenset({'Accessories', 'Fashion'})"
0.47974209981692273,"frozenset({'Accessories', 'Female'})"
0.20241980418689803,"frozenset({'Accessories', 'Finger'})"
0.11000557191753563,"frozenset({'Accessories', 'Flower'})"
0.23585130940062088,"frozenset({'Accessories', 'Food'})"
0.11565708827509352,"frozenset({'Accessories', 'Food Court'})"
0.41693862930828623,"frozenset({'Accessories', 'Furniture'})"
0.3481652471543421,"frozenset({'Girl', 'Accessories'})"
0.18100772108572794,"frozenset({'Accessories', 'Glass'})"
0.11502029769959404,"frozenset({'Accessories', 'Glasses'})"
0.10077210857279312,"frozenset({'Accessories', 'Gown'})"
0.4101727294436042,"frozenset({'Accessories', 'Hair'})"
0.11788585528934171,"frozenset({'Accessories', 'Hat'})"
0.3706917137626363,"frozenset({'Accessories', 'Head'})"
0.2329857518108732,"frozenset({'Accessories', 'Home Decor'})"
0.12075141287908939,"frozenset({'Housing', 'Accessories'})"
0.10339886969672848,"frozenset({'Accessories', 'Hug'})"
0.5055321181246517,"frozenset({'Accessories', 'Human'})"
0.4869059937912919,"frozenset({'Accessories', 'Indoors'})"
