support,itemsets
0.1263826687031483,frozenset({'Accessories'})
0.1263826687031483,frozenset({'Accessory'})
0.039167754557120724,frozenset({'Alcohol'})
0.042736528341241344,frozenset({'Animal'})
0.5258449487982663,frozenset({'Apparel'})
0.031564232380797405,frozenset({'Architecture'})
0.029374891365046726,frozenset({'Arm'})
0.013631606391988195,frozenset({'Armored'})
0.013579831435534631,frozenset({'Army'})
0.03222621218116797,frozenset({'Art'})
0.04462261604062115,frozenset({'Audience'})
0.039008731476584776,frozenset({'Automobile'})
0.013302465597390543,frozenset({'Baby'})
0.09177480852511641,frozenset({'Bar Counter'})
0.014530271707575046,frozenset({'Bartender'})
0.019382324769508987,frozenset({'Bed'})
0.011198183438670715,frozenset({'Beer'})
0.056593725614920064,frozenset({'Beverage'})
0.010894930122299843,frozenset({'Blanket'})
0.02757386252269777,frozenset({'Blazer'})
0.030251367413582052,frozenset({'Blonde'})
0.020162647327487696,frozenset({'Blossom'})
0.01097259255698019,frozenset({'Book'})
0.013982936453637376,frozenset({'Boy'})
0.09564313741443264,frozenset({'Building'})
0.015484410190790715,frozenset({'Cafe'})
0.016120502512934492,frozenset({'Cafeteria'})
0.016327602338748748,frozenset({'Call of Duty'})
0.015813550985388367,frozenset({'Canine'})
0.01201918631957722,frozenset({'Cap'})
0.039008731476584776,frozenset({'Car'})
0.05134966216840914,frozenset({'Chair'})
0.048494643141112646,frozenset({'Child'})
0.023080535944763517,frozenset({'City'})
0.016767689468604036,frozenset({'Clinic'})
0.5258449487982663,frozenset({'Clothing'})
0.011175994171619187,frozenset({'Club'})
0.20184466773421697,frozenset({'Coat'})
0.014045806043616703,frozenset({'Computer'})
0.018047270535242105,frozenset({'Couch'})
0.01450068601817301,frozenset({'Countryside'})
0.09176371389159063,frozenset({'Court'})
0.15568729405586518,frozenset({'Crowd'})
0.01103176393578426,frozenset({'Curtain'})
0.0396004452646255,frozenset({'Cushion'})
0.10541750955063035,frozenset({'Dating'})
0.011113124581639862,frozenset({'Desk'})
0.014104977422420775,frozenset({'Dining Room'})
0.025491769631029473,frozenset({'Dining Table'})
0.03658640315679306,frozenset({'Display'})
0.01252584125058709,frozenset({'Dog'})
0.03143849320083875,frozenset({'Door'})
0.015835740252439896,frozenset({'Dress'})
0.056593725614920064,frozenset({'Drink'})
0.013498470789679032,frozenset({'Driving'})
0.06818761764934302,frozenset({'Electronics'})
0.018812800248519793,frozenset({'Evening Dress'})
0.46600419377147273,frozenset({'Face'})
0.04406418615315772,frozenset({'Fashion'})
0.22956276049274965,frozenset({'Female'})
0.021948883325135633,frozenset({'Field'})
0.0246189917936694,frozenset({'Final Fantasy'})
0.04293253353352983,frozenset({'Finger'})
0.020162647327487696,frozenset({'Flower'})
0.057433219551702844,frozenset({'Food'})
0.02356500160872186,frozenset({'Food Court'})
0.01018117536547572,frozenset({'Footwear'})
0.012518444828236582,frozenset({'Funeral'})
0.1932685160188017,frozenset({'Furniture'})
0.08461876990099888,frozenset({'Girl'})
0.03783639853402909,frozenset({'Glass'})
0.013587227857885142,frozenset({'Glasses'})
0.03170476440545708,frozenset({'Gown'})
0.06445242436233593,frozenset({'Grand Theft Auto'})
0.024704050650700256,frozenset({'Grass'})
0.1333833824579051,frozenset({'Hair'})
0.03961153989815126,frozenset({'Halo'})
0.02105761443189929,frozenset({'Hand'})
0.053320808724819806,frozenset({'Hat'})
0.14992178283364338,frozenset({'Head'})
0.012274362890669783,frozenset({'Heel'})
0.01178250080436093,frozenset({'Helmet'})
0.05251090047743906,frozenset({'Home Decor'})
0.011808388282587713,frozenset({'House'})
0.04038816424495471,frozenset({'Housing'})
0.02928613429684062,frozenset({'Hug'})
0.926712549139981,frozenset({'Human'})
0.3304499613536932,frozenset({'Indoors'})
0.08551743521658574,frozenset({'Interior Design'})
0.056945055676569246,frozenset({'Jacket'})
0.011286940506876824,frozenset({'Jar'})
0.01575068139540904,frozenset({'Jaw'})
0.016449643307532145,frozenset({'Jewelry'})
0.048494643141112646,frozenset({'Kid'})
0.062333349358915095,frozenset({'Lamp'})
0.010514014371248628,frozenset({'Lampshade'})
0.012792112455205416,frozenset({'Land'})
0.048420678917607554,frozenset({'Leisure Activities'})
0.011090935314588334,frozenset({'Light'})
0.021616044319362725,frozenset({'Lighting'})
0.012229984356566729,frozenset({'Machine'})
0.014840921446296427,frozenset({'Make Out'})
0.026841616709997376,frozenset({'Mammal'})
0.2077137288693459,frozenset({'Man'})
0.025406710773998618,frozenset({'Meal'})
