antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Transportation'}),frozenset({'Photo'}),0.25970030029141583,0.5076256268398397,0.1330453691513439,0.5123034859876965,1.0092151753192176,0.001214841425419333,1.0095917420228655
frozenset({'Musical Instrument'}),frozenset({'Coat'}),0.10288309344536324,0.4625967071493025,0.05409683288708747,0.5258087706685838,1.136646159694517,0.006503452637928446,1.1333050035708314
frozenset({'Night Life'}),frozenset({'Apparel'}),0.12737977248857266,0.7356991760476916,0.0958121921273354,0.7521774474509348,1.022398110450208,0.0020989984623500796,1.0664922188628525
frozenset({'Door'}),frozenset({'Photography'}),0.11687696927560243,0.5064422123933078,0.060265380689634766,0.5156309327933173,1.0181436700479332,0.0010739497918740154,1.0189704938281878
frozenset({'Hair'}),frozenset({'Furniture'}),0.38397360985784235,0.49982988417331103,0.19545568852531767,0.5090341718996803,1.0184148407644584,0.003534203584464213,1.0187473082637606
frozenset({'Beverage'}),frozenset({'Person'}),0.19594384698451206,0.7779766571500422,0.1582373041818908,0.8075645477880115,1.0380318488556692,0.005797565115760739,1.1537548840292433
frozenset({'Skin'}),frozenset({'Man'}),0.10482093460155915,0.5159539060073076,0.05729205189272348,0.5465707027942421,1.0593401783191478,0.00320928125371249,1.067522758179962
frozenset({'Animal'}),frozenset({'Indoors'}),0.14217245307022086,0.6460703244034851,0.09326785106729191,0.6560191447299969,1.0153989743077854,0.001414448190975054,1.0289225989588944
frozenset({'Wood'}),frozenset({'Human'}),0.09272052188577092,0.776467803730714,0.07400778094998595,0.7981812380344608,1.0279643717349511,0.0020132809605758056,1.1075887796173005
frozenset({'Jacket'}),frozenset({'Apparel'}),0.19326637179923373,0.7356991760476916,0.14811911066404343,0.7663987753539993,1.0417284677022902,0.00593320017362034,1.1314188286162874
frozenset({'Overcoat'}),frozenset({'People'}),0.372213428795432,0.5670330320557389,0.22175707459948818,0.5957793498132105,1.0506960196891066,0.010699765497751507,1.0711154112096648
frozenset({'Wood'}),frozenset({'Man'}),0.09272052188577092,0.5159539060073076,0.04923004097572521,0.5309508615188259,1.029066463761408,0.001390525541725654,1.0319731010701347
frozenset({'Dating'}),frozenset({'Photo'}),0.3232052780284315,0.5076256268398397,0.1699531072025562,0.5258364227195753,1.0358744612503208,0.005885825345428974,1.0384061466386432
frozenset({'Accessory'}),frozenset({'Indoors'}),0.3568586263516812,0.6460703244034851,0.2404254374935282,0.6737274083899851,1.0428081633559563,0.009869669000315467,1.084766801434421
frozenset({'Water'}),frozenset({'Human'}),0.10425881273945652,0.776467803730714,0.08220292599221905,0.7884506242905789,1.0154324757604767,0.0012493146448414594,1.0566431383674901
frozenset({'Vegetation'}),frozenset({'Apparel'}),0.08681824233369329,0.7356991760476916,0.06609369683880416,0.7612881240415744,1.0347818086889145,0.0022215874879971814,1.1071959570136318
frozenset({'Lighting'}),frozenset({'Furniture'}),0.08118223103208533,0.49982988417331103,0.043697578438188785,0.5382653061224489,1.0768970066940031,0.003120273304490599,1.0832413558235472
frozenset({'Child'}),frozenset({'Photo'}),0.1680004733657786,0.5076256268398397,0.09332702178961849,0.5555164215902086,1.094342744373461,0.00804567618792533,1.1077448011053763
frozenset({'Crowd'}),frozenset({'Coat'}),0.4199346163518291,0.4625967071493025,0.21030753982929246,0.5008102014935888,1.0826064988222082,0.016047169086930657,1.076551032209837
frozenset({'Grand Theft Auto'}),frozenset({'Person'}),0.21638733154834988,0.7779766571500422,0.16742355882309434,0.7737216297511622,0.9945306490114146,-0.0009207340245087625,0.9811956070118381
frozenset({'Shop'}),frozenset({'Furniture'}),0.076907146343989,0.49982988417331103,0.041463883670359906,0.5391421427197538,1.0786512767468135,0.0030233936211440035,1.085302350660666
frozenset({'Blonde'}),frozenset({'Female'}),0.10752799514800077,0.522329551337998,0.06445170929424121,0.5993946897785115,1.1475412184570137,0.008286659832311548,1.192371734657999
frozenset({'Smile'}),frozenset({'Room'}),0.128962589310809,0.5693406902264759,0.07458469549267023,0.5783436568020188,1.0158129688077655,0.0011610458810606822,1.021351431611965
frozenset({'Table'}),frozenset({'Human'}),0.22101744057040576,0.776467803730714,0.1766541915060428,0.7992771568168128,1.029375787349464,0.00504126484015624,1.1136360601731916
