antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Musician'}),frozenset({'Interior Design'}),0.1833512074257609,0.4774601531008469,0.0945231315409933,0.5155304558289633,1.0797350364860194,0.006980235972264381,1.0785814158726066
frozenset({'Soldier'}),frozenset({'Person'}),0.13290928589919013,0.7576642875633297,0.10018120631633445,0.7537562604340567,0.9948420069502797,-0.0005194130950263304,0.9841294355902745
frozenset({'Hug'}),frozenset({'Hair'}),0.22935542324618172,0.5885877001590177,0.1374579342479938,0.5993227990970655,1.0182387415420804,0.0024621531605255875,1.0267923877721419
frozenset({'Military Uniform'}),frozenset({'Indoors'}),0.18597684996856625,0.7356606634370031,0.14089715617025997,0.7576058858620004,1.0298306318601695,0.004081303338460518,1.0905352941553006
frozenset({'Food'}),frozenset({'Coat'}),0.3732110498872083,0.60345401427462,0.22798713065345216,0.6108799048751486,1.012305644547671,0.0027714244273708555,1.019083801359953
frozenset({'Apparel'}),frozenset({'Accessories'}),0.7524869642394881,0.5492770237787065,0.4161828334750934,0.5530764694318853,1.0069171756485296,0.0028590333253534217,1.0085013327634575
frozenset({'Accessories'}),frozenset({'Apparel'}),0.5492770237787065,0.7524869642394881,0.4161828334750934,0.7576920487443614,1.0069171756485293,0.0028590333253534217,1.021481278174738
frozenset({'Kid'}),frozenset({'Female'}),0.3290558781110166,0.668947154321216,0.22635997189453053,0.6879073949202068,1.0283434057182437,0.006238978619497071,1.0607519700575514
frozenset({'Musician'}),frozenset({'Head'}),0.1833512074257609,0.6281942235864059,0.11530638659812877,0.6288826139572408,1.0010958241018277,0.00012621720567285166,1.0018549127492389
frozenset({'Hug'}),frozenset({'Overcoat'}),0.22935542324618172,0.5204319366887319,0.1224806774897378,0.5340212834569493,1.0261116695771597,0.003116790379663656,1.0291630202963615
frozenset({'Architecture'}),frozenset({'Dating'}),0.24592285788247475,0.5298620613143005,0.13309419030361302,0.541203007518797,1.0214035822386789,0.0027889979017011735,1.024718876519142
frozenset({'Smile'}),frozenset({'Photography'}),0.27217928331052843,0.6777855848526312,0.18812174105987203,0.6911684782608696,1.0197450251337938,0.0036425463364755106,1.0433339619378066
frozenset({'Dining Room'}),frozenset({'Indoors'}),0.1233682186309678,0.7356606634370031,0.09441218889833956,0.7652877697841727,1.0402727885554623,0.003655043333240557,1.1262273649733816
frozenset({'Grand Theft Auto'}),frozenset({'Portrait'}),0.4049776265670648,0.6182463666284531,0.24884434747235679,0.6144644324719204,0.9938828040718506,-0.0015315987185455238,0.9901904403249195
frozenset({'Performer'}),frozenset({'Plant'}),0.3691801338707888,0.5564882955512,0.2099774416626604,0.5687669037363519,1.0220644500222416,0.0045330182135412955,1.0284732509900978
frozenset({'Shirt'}),frozenset({'Room'}),0.3097148774083799,0.7075921748456048,0.2231796161384564,0.7205970149253731,1.0183790049439225,0.004027792451021028,1.0465451007128461
frozenset({'Skin'}),frozenset({'Outdoors'}),0.23035390703006545,0.5364076772308717,0.1263266891017344,0.5484026328463637,1.0223616404549134,0.0027630848906808197,1.026561172601813
frozenset({'Clinic'}),frozenset({'People'}),0.14644428830294737,0.7065567101808365,0.1039162752856773,0.7095959595959597,1.0043014939513422,0.00044508071757284884,1.010465589290337
frozenset({'Night Life'}),frozenset({'People'}),0.2581635294552716,0.7065567101808365,0.18545911763618209,0.7183784558086235,1.0167314887219192,0.003051943575591881,1.0419774192408853
frozenset({'Glass'}),frozenset({'Bar Counter'}),0.27894678451240706,0.4731703709182353,0.1461484412558707,0.5239294710327456,1.1072744686359104,0.014159087761686007,1.1066209669071987
frozenset({'Food'}),frozenset({'Pub'}),0.3732110498872083,0.4962094597093303,0.19806959801782478,0.5307173999207293,1.0695430922087077,0.012878744595741232,1.0735333894876349
frozenset({'Child'}),frozenset({'Crowd'}),0.32787248992270995,0.6096298213823453,0.20354276838874302,0.6207985562824273,1.0183205192862066,0.00366192092097653,1.0294533026841544
frozenset({'Halo'}),frozenset({'Face'}),0.24610776228689768,0.7538552568322178,0.18745608520394955,0.7616829451540195,1.0103835427966563,0.0019264548567579087,1.0328456909089472
frozenset({'Hand'}),frozenset({'Apparel'}),0.18638363965829666,0.7524869642394881,0.14222846788210494,0.763095238095238,1.0140976181115262,0.0019772086917266285,1.0447786434112056
frozenset({'Court'}),frozenset({'Overcoat'}),0.4693613401871233,0.5204319366887319,0.2546133648903517,0.5424676961865742,1.0423412898870996,0.01034273360994839,1.0481621938258334
frozenset({'Blonde'}),frozenset({'Indoors'}),0.2199992603823823,0.7356606634370031,0.16571132724381496,0.753235837955959,1.0238903279629563,0.0038665253952616108,1.0712225566847882
frozenset({'Lighting'}),frozenset({'Accessory'}),0.18279649421249214,0.5516807810362043,0.10302873414444733,0.5636253287477241,1.021651194172624,0.0021834214466196628,1.027372229642115
frozenset({'Interior Design'}),frozenset({'Face'}),0.4774601531008469,0.7538552568322178,0.3635960208572168,0.7615211834869491,1.0101689635845272,0.0036601745142278985,1.0321451052417134
frozenset({'Sitting'}),frozenset({'Photography'}),0.26470914537184276,0.6777855848526312,0.18061462224030175,0.6823134953897736,1.0066804467936965,0.0011985793286071467,1.0142527632475222
frozenset({'Performer'}),frozenset({'Dating'}),0.3691801338707888,0.5298620613143005,0.2018786287489368,0.5468296103375739,1.032022577689722,0.006264082019871248,1.0374418748672278
frozenset({'Pottery'}),frozenset({'Photo'}),0.15524573795347804,0.679301800968899,0.10802115306386598,0.6958075273939972,1.0242980754674222,0.002562443679322582,1.0542607983810197
frozenset({'Tuxedo'}),frozenset({'Photo'}),0.16593321252912244,0.679301800968899,0.1143818645760142,0.6893247158457767,1.0147547303166013,0.0016631344644262441,1.0322617066374105
frozenset({'Human'}),frozenset({'Indoors'}),0.756665803779446,0.7356606634370031,0.5608520394955808,0.7412149943795514,1.0075501263267204,0.004202772287100309,1.021463109615766
frozenset({'Indoors'}),frozenset({'Human'}),0.7356606634370031,0.756665803779446,0.5608520394955808,0.7623787261850903,1.0075501263267204,0.004202772287100309,1.0240421335763659
frozenset({'Kid'}),frozenset({'Dating'}),0.3290558781110166,0.5298620613143005,0.18209385747568507,0.5533827826477861,1.0443902725836671,0.007739631612194597,1.05266416165711
frozenset({'Arm'}),frozenset({'Man'}),0.23908139491882696,0.6936134018712325,0.1658222698864687,0.6935808197989173,0.9999530256015421,-7.789767298482797e-06,0.9998936683000917
frozenset({'Glass'}),frozenset({'Woman'}),0.27894678451240706,0.5460227062608631,0.15687289671239968,0.5623757125812011,1.0299493155373016,0.004561618530169342,1.0373676845423536
frozenset({'Transportation'}),frozenset({'Building'}),0.4700639769239303,0.5366295625161791,0.25635146629192707,0.5453544174337188,1.016258617726221,0.004101240000623008,1.0191904535139034
frozenset({'Smile'}),frozenset({'Man'}),0.27217928331052843,0.6936134018712325,0.19108021153063867,0.7020380434782609,1.0121460190709988,0.002293012914749065,1.0282742189820926
